elapsed_s,power_mA,temperature_C
0,0.001,799.5
0.5,0.001,799.5
1,0.001,799.4
1.5,0.001,799.5
2,0.001,799.4
2.5,0.001,799.5
3,0.001,799.5
3.5,0.001,799.5
4,0.001,799.4
4.5,0.001,799.3
5,0.001,799.5
5.5,0.0109,799.4
6,0.0208,799.4
6.5,0.0307,799.4
7,0.0406,799.5
7.5,0.0505,799.5
8,0.0604,799.5
8.5,0.0703,799.6
9,0.0802,799.6
9.5,0.0901,799.4
10,0.1,799.5
10.5,0.1001,799.5
11,0.1003,799.5
11.5,0.1004,799.6
12,0.1006,799.4
12.5,0.1007,799.5
13,0.1009,799.3
13.5,0.101,799.4
14,0.1012,799.3
14.5,0.1013,799.4
15,0.1015,799.5
15.5,0.1016,799.4
16,0.1017,799.5
16.5,0.1019,799.4
17,0.102,799.7
17.5,0.1022,799.5
18,0.1023,799.4
18.5,0.1025,799.4
19,0.1026,799.6
19.5,0.1028,799.4
20,0.1029,799.4
20.5,0.1031,799.5
21,0.1032,799.5
21.5,0.1034,799.4
22,0.1035,799.2
22.5,0.1036,799.5
23,0.1038,799.4
23.5,0.1039,799.6
24,0.1041,799.5
24.5,0.1042,799.3
25,0.1044,799.5
25.5,0.1045,799.5
26,0.1047,799.4
26.5,0.1048,799.5
27,0.105,799.4
27.5,0.1051,799.4
28,0.1052,800.4
28.5,0.1054,799.6
29,0.1055,799.4
29.5,0.1057,799.3
30,0.1058,799.3
30.5,0.106,799.7
31,0.1061,799.4
31.5,0.1063,799
32,0.1064,799.5
32.5,0.1066,799.5
33,0.1067,799.5
33.5,0.1069,799.6
34,0.107,799.3
34.5,0.1071,799.6
35,0.1073,799.3
35.5,0.1074,799.6
36,0.1076,799.4
36.5,0.1077,799.5
37,0.1079,799.4
37.5,0.108,799.5
38,0.1082,799.4
38.5,0.1083,799.4
39,0.1085,799.5
39.5,0.1086,799.5
40,0.1087,799.5
40.5,0.1089,799.4
41,0.109,799.5
41.5,0.1092,800.1
42,0.1093,799.4
42.5,0.1095,799.5
43,0.1096,799.5
43.5,0.1098,799.5
44,0.1099,799.3
44.5,0.1101,799.4
45,0.1102,799.6
45.5,0.1104,799.4
46,0.1105,799.4
46.5,0.1106,799.4
47,0.1108,799.5
47.5,0.1109,799.5
48,0.1111,799.5
48.5,0.1112,799.5
49,0.1114,799.5
49.5,0.1115,799.4
50,0.1117,799.4
50.5,0.1118,799.6
51,0.112,799.6
51.5,0.1121,799.5
52,0.1123,799.4
52.5,0.1124,799.3
53,0.1125,799.5
53.5,0.1127,799.4
54,0.1128,799.7
54.5,0.113,799.5
55,0.1131,799.4
55.5,0.1133,799.6
56,0.1134,799.4
56.5,0.1136,799.5
57,0.1137,799.5
57.5,0.1139,799.5
58,0.114,799.5
58.5,0.1141,799.4
59,0.1143,799
59.5,0.1144,799.5
60,0.1146,799.5
60.5,0.1147,799.5
61,0.1149,799.5
61.5,0.115,799.5
62,0.1152,799.6
62.5,0.1153,799.6
63,0.1155,799.4
63.5,0.1156,799.5
64,0.1158,799.5
64.5,0.1159,799
65,0.116,799.5
65.5,0.1162,799.7
66,0.1163,799.5
66.5,0.1165,799.4
67,0.1166,799.4
67.5,0.1168,799.4
68,0.1169,799.4
68.5,0.1171,799.4
69,0.1172,799.5
69.5,0.1174,799.4
70,0.1175,799
70.5,0.1176,799.7
71,0.1178,799
71.5,0.1179,799.5
72,0.1181,799.6
72.5,0.1182,799.4
73,0.1184,799.8
73.5,0.1185,799.7
74,0.1187,799.5
74.5,0.1188,799.4
75,0.119,799.5
75.5,0.1191,799.5
76,0.1192,799.5
76.5,0.1194,799.4
77,0.1195,799.4
77.5,0.1197,799.4
78,0.1198,799.4
78.5,0.12,799.5
79,0.1201,799.4
79.5,0.1203,799.5
80,0.1204,799.4
80.5,0.1206,799.5
81,0.1207,799.5
81.5,0.1209,799.4
82,0.121,799.5
82.5,0.1211,799.5
83,0.1213,799.4
83.5,0.1214,799.4
84,0.1216,799.4
84.5,0.1217,799.6
85,0.1219,799.5
85.5,0.122,799.5
86,0.1222,799.5
86.5,0.1223,799.4
87,0.1225,799.5
87.5,0.1226,799.4
88,0.1227,799.5
88.5,0.1229,799.4
89,0.123,799.5
89.5,0.1232,799.4
90,0.1233,799.6
90.5,0.1235,799.7
91,0.1236,799.4
91.5,0.1238,799.4
92,0.1239,799.5
92.5,0.1241,799.4
93,0.1242,799.9
93.5,0.1244,799.4
94,0.1245,799.3
94.5,0.1246,799.6
95,0.1248,799.4
95.5,0.1249,799.4
96,0.1251,799.4
96.5,0.1252,799.5
97,0.1254,799.4
97.5,0.1255,799.5
98,0.1257,799.4
98.5,0.1258,799.8
99,0.126,799.4
99.5,0.1261,799.5
100,0.1263,799.4
100.5,0.1264,799.5
101,0.1265,799.4
101.5,0.1267,799.5
102,0.1268,799.4
102.5,0.127,799.3
103,0.1271,799.6
103.5,0.1273,799.4
104,0.1274,799.6
104.5,0.1276,799.4
105,0.1277,799.6
105.5,0.1279,799.5
106,0.128,799.4
106.5,0.1281,799.4
107,0.1283,799.5
107.5,0.1284,799.5
108,0.1286,799.3
108.5,0.1287,799.5
109,0.1289,799.2
109.5,0.129,799.5
110,0.1292,799.5
110.5,0.1293,799.5
111,0.1295,799.4
111.5,0.1296,799.4
112,0.1298,799.5
112.5,0.1299,799.6
113,0.13,799.4
113.5,0.1302,799.5
114,0.1303,799.5
114.5,0.1305,799.5
115,0.1306,799.5
115.5,0.1308,799.4
116,0.1309,799.6
116.5,0.1311,799.5
117,0.1312,799.4
117.5,0.1314,799.7
118,0.1315,799.4
118.5,0.1316,799.6
119,0.1318,799.4
119.5,0.1319,799.5
120,0.1321,799.3
120.5,0.1322,799.5
121,0.1324,799.6
121.5,0.1325,799.5
122,0.1327,799.5
122.5,0.1328,799.5
123,0.133,799.4
123.5,0.1331,799.4
124,0.1333,799.6
124.5,0.1334,799.5
125,0.1335,799.5
125.5,0.1337,799.6
126,0.1338,799.4
126.5,0.134,799.4
127,0.1341,799.5
127.5,0.1343,799.5
128,0.1344,799.5
128.5,0.1346,800.5
129,0.1347,799.4
129.5,0.1349,799.7
130,0.135,799.6
130.5,0.1351,799
131,0.1353,799.6
131.5,0.1354,799.4
132,0.1356,799.4
132.5,0.1357,799.4
133,0.1359,799.7
133.5,0.136,799.4
134,0.1362,799.4
134.5,0.1363,799.6
135,0.1365,799.4
135.5,0.1366,799.2
136,0.1368,799.4
136.5,0.1369,799.5
137,0.137,799.6
137.5,0.1372,799.4
138,0.1373,799.4
138.5,0.1375,799.6
139,0.1376,799.6
139.5,0.1378,799.6
140,0.1379,799.5
140.5,0.1381,799.5
141,0.1382,799.4
141.5,0.1384,799.7
142,0.1385,799.4
142.5,0.1386,799
143,0.1388,799.5
143.5,0.1389,799.5
144,0.1391,799.6
144.5,0.1392,799.4
145,0.1394,799.5
145.5,0.1395,799.5
146,0.1397,799.5
146.5,0.1398,799.4
147,0.14,799.7
147.5,0.1401,799.5
148,0.1403,799.5
148.5,0.1404,799.6
149,0.1405,799.6
149.5,0.1407,799.4
150,0.1408,799.4
150.5,0.141,799.6
151,0.1411,799.4
151.5,0.1413,799.5
152,0.1414,799.5
152.5,0.1416,799.4
153,0.1417,799.4
153.5,0.1419,799.5
154,0.142,799.5
154.5,0.1421,799.5
155,0.1423,799.5
155.5,0.1424,799.6
156,0.1426,799.7
156.5,0.1427,799.6
157,0.1429,799.4
157.5,0.143,800.1
158,0.1432,799.5
158.5,0.1433,799.5
159,0.1435,799.5
159.5,0.1436,799.4
160,0.1437,799.4
160.5,0.1439,799.4
161,0.144,799.5
161.5,0.1442,799.4
162,0.1443,799.6
162.5,0.1445,799.3
163,0.1446,799.5
163.5,0.1448,799.4
164,0.1449,799.5
164.5,0.1451,799.3
165,0.1452,799.3
165.5,0.1454,799.6
166,0.1455,799.3
166.5,0.1456,799.4
167,0.1458,799.6
167.5,0.1459,799.4
168,0.1461,799.5
168.5,0.1462,799.5
169,0.1464,799.5
169.5,0.1465,799.2
170,0.1467,799.3
170.5,0.1468,799.4
171,0.147,799.5
171.5,0.1471,799.4
172,0.1472,800.3
172.5,0.1474,800
173,0.1475,799.7
173.5,0.1477,799.4
174,0.1478,799.7
174.5,0.148,799.5
175,0.1481,799.4
175.5,0.1483,799.4
176,0.1484,799.5
176.5,0.1486,799.4
177,0.1487,799.5
177.5,0.1489,799.4
178,0.149,799.4
178.5,0.1491,799.5
179,0.1493,799.4
179.5,0.1494,799.4
180,0.1496,799
180.5,0.1497,799.4
181,0.1499,799.5
181.5,0.15,799.4
182,0.1502,799.5
182.5,0.1503,799.4
183,0.1505,799.4
183.5,0.1506,799.6
184,0.1507,799.4
184.5,0.1509,799.5
185,0.151,799.5
185.5,0.1512,799.4
186,0.1513,799.5
186.5,0.1515,799.6
187,0.1516,799.6
187.5,0.1518,799.4
188,0.1519,799.5
188.5,0.1521,799.4
189,0.1522,799.6
189.5,0.1524,799.4
190,0.1525,799.5
190.5,0.1526,799.4
191,0.1528,799.7
191.5,0.1529,799.3
192,0.1531,799.4
192.5,0.1532,799.6
193,0.1534,799.4
193.5,0.1535,799.6
194,0.1537,799.5
194.5,0.1538,802
195,0.154,799.7
195.5,0.1541,799.4
196,0.1542,799.4
196.5,0.1544,799.5
197,0.1545,799.5
197.5,0.1547,799.4
198,0.1548,799.3
198.5,0.155,799.5
199,0.1551,799.6
199.5,0.1553,799.5
200,0.1554,799
200.5,0.1556,799.4
201,0.1557,799.5
201.5,0.1559,799.4
