elapsed_s,power_mA,temperature_C,flow_sccm
203,0.1643,799.6,0.02251
204,0.1647,799.5,0.03298
205,0.165,799.5,0.03298
206,0.1653,799.6,0.02251
207,0.1657,799.4,0.02251
208,0.166,799.4,0.02251
209,0.1663,799.6,0.03298
210,0.1667,799.4,0.02251
211,0.167,799.4,0.02251
212,0.1673,799.4,0.02251
213,0.1677,799.4,0.03298
214,0.168,799.5,0.02251
215,0.1683,799.3,0.02251
216,0.1687,799.5,0.02251
217,0.169,799.4,0.02251
218,0.1693,799.5,0.02251
219,0.1697,799.5,0.03298
220,0.17,799.6,0.02251
221,0.1703,799.4,0.02251
222,0.1707,799.7,0.02251
223,0.171,799.5,0.03298
224,0.1713,799.6,0.02251
225,0.1717,799.6,0.03298
226,0.172,799.7,0.02251
227,0.1723,799.5,0.02251
228,0.1727,799.4,0.02251
229,0.173,799.6,0.03298
230,0.1733,799.7,0.02251
231,0.1737,799.5,0.02251
232,0.174,799.5,0.02251
233,0.1743,799.5,0.02251
234,0.1747,799.5,0.02251
235,0.175,799.4,0.02251
236,0.1753,799.6,0.02251
237,0.1757,799.7,0.03298
238,0.176,799.5,0.02251
239,0.1763,799.4,0.03298
240,0.1767,799.3,0.03298
241,0.177,799.5,0.02251
242,0.1773,799.4,0.02251
243,0.1777,799.5,0.03298
244,0.178,799.6,0.03298
245,0.1783,799.5,0.03298
246,0.1787,799.3,0.02251
247,0.179,799.6,0.02251
248,0.1793,799.5,0.02251
249,0.1797,799.5,0.02251
250,0.18,799.5,0.02251
251,0.1803,799.4,0.02251
252,0.1807,799.5,0.02251
253,0.181,799.3,0.02251
254,0.1813,799.5,0.03298
255,0.1817,799.6,0.02251
256,0.182,799.7,0.03298
257,0.1823,799.4,0.02251
258,0.1827,799.6,0.02251
259,0.183,799.4,0.02251
260,0.1833,799.4,0.03298
261,0.1837,799.4,0.03298
262,0.184,799.4,0.03298
263,0.1843,799.4,0.02251
264,0.1847,799.5,0.02251
265,0.185,799.4,0.03298
266,0.1853,799.4,0.03298
267,0.1857,799.5,0.02251
268,0.186,799.4,0.03298
269,0.1863,799.5,0.02251
270,0.1867,799.5,0.02251
271,0.187,799.5,0.02251
272,0.1873,799.6,0.02251
273,0.1877,799.5,0.02251
274,0.188,799.4,0.02251
275,0.1883,799.5,0.03298
276,0.1887,799.4,0.03298
277,0.189,799.6,0.02251
278,0.1893,799.7,0.02251
279,0.1897,799.4,0.02251
280,0.19,799.4,0.02251
281,0.1903,799.4,0.02251
282,0.1907,799.4,0.02251
283,0.191,799.6,0.02251
284,0.1913,799.4,0.02251
285,0.1917,799.7,0.02251
286,0.192,799.4,0.02251
287,0.1923,799.6,0.02251
288,0.1927,799.6,0.02251
289,0.193,799.5,0.02251
290,0.1933,799.6,0.02251
291,0.1937,799.5,0.02251
292,0.194,799.4,0.02251
293,0.1943,799.4,0.02251
294,0.1947,799.4,0.03298
295,0.195,799.5,0.02251
296,0.1953,799.6,0.02251
297,0.1957,799.5,0.03298
298,0.196,799.6,0.02251
299,0.1963,799.4,0.03298
300,0.1967,799.5,0.02251
301,0.197,799.6,0.02251
302,0.1973,799.4,0.02251
303,0.1977,799.4,0.02251
304,0.198,799.4,0.02251
305,0.1983,799.5,0.03298
306,0.1987,799.6,0.03298
307,0.199,799.6,0.02251
308,0.1993,799.4,0.03298
309,0.1997,799.8,0.03298
310,0.2,799.6,0.03298
311,0.2003,799.4,0.02251
312,0.2007,799.4,0.03298
313,0.201,799.5,0.02251
314,0.2013,799.6,0.02251
315,0.2017,799.4,0.02251
316,0.202,799.5,0.02251
317,0.2023,799.4,0.03298
318,0.2027,799.4,0.02251
319,0.203,799.5,0.02251
320,0.2033,799.5,0.02251
321,0.2037,799.4,0.03298
322,0.204,799.5,0.02251
323,0.2043,799.5,0.02251
324,0.2047,799.4,0.03298
325,0.205,799.6,0.03298
326,0.2053,799.5,0.02251
327,0.2057,799.4,0.02251
328,0.206,799.5,0.02251
329,0.2063,799.4,0.02251
330,0.2067,799.6,0.02251
331,0.207,799.5,0.03298
332,0.2073,799.3,0.02251
333,0.2077,799.4,0.03298
334,0.208,799.5,0.02251
335,0.2083,799.5,0.02251
336,0.2087,799.5,0.02251
337,0.209,799.5,0.02251
338,0.2093,799.4,0.03298
339,0.2097,799.4,0.03298
340,0.21,799.4,0.02251
341,0.2103,799.6,0.03298
342,0.2107,799.4,0.02251
343,0.211,799.2,0.03298
344,0.2113,799.7,0.03298
345,0.2117,799.4,0.02251
346,0.212,799.3,0.02251
347,0.2123,799.3,0.03298
348,0.2127,799.5,0.03298
349,0.213,799.4,0.02251
350,0.2133,799.5,0.03298
351,0.2137,799.6,0.02251
352,0.214,799.7,0.02251
353,0.2143,799.5,0.02251
354,0.2147,799.4,0.02251
355,0.215,799.5,0.03298
356,0.2153,799.4,0.03298
357,0.2157,799.4,0.02251
358,0.216,799.5,0.02251
359,0.2163,799.4,0.03298
360,0.2167,799.5,0.02251
361,0.217,799.5,0.02251
362,0.2173,799.5,0.02251
363,0.2177,799.3,0.02251
364,0.218,799.4,0.02251
365,0.2183,799.5,0.02251
366,0.2187,799.4,0.02251
367,0.219,799.6,0.02251
368,0.2193,799.7,0.02251
369,0.2197,799.5,0.02251
370,0.22,799.4,0.03298
371,0.2203,799.3,0.02251
372,0.2207,799.6,0.02251
