elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.4,0.03298
1,0.01,799.5,0.02251
2,0.01,799.7,0.02251
3,0.01,799.4,0.02251
4,0.01,799.4,0.02251
5,0.01,799.3,0.03298
6,0.01,799.4,0.02251
7,0.01,799.4,0.02251
8,0.01,799.7,0.02251
9,0.01,799.4,0.02251
10,0.01,799.5,0.03298
11,0.01,799.6,0.02251
12,0.01,799.4,0.03298
13,0.01,799.3,0.2109
14,0.01,799.4,21.38
15,0.01,799.5,21.38
16,0.01,799.5,21.38
17,0.01,799.5,21.38
18,0.01,799.5,21.38
19,0.01,799.6,21.38
20,0.01,799.6,21.38
21,0.01,799.4,21.38
22,0.01,799.6,21.38
23,0.01,799.5,21.38
24,0.01,799.5,21.38
25,0.01,799.4,5.455
26,0.01,799.4,16.91
27,0.01,799.4,21.38
28,0.01,799.5,20.68
29,0.01,799.7,19.55
30,0.01,799.5,19.68
31,0.01,799.4,19.91
32,0.01,799.5,19.93
33,0.01,799.6,19.92
34,0.01,799.6,19.92
35,0.01,799.5,19.93
36,0.01,799.6,19.94
37,0.01,799.4,19.94
38,0.01,799.5,19.94
39,0.01,799.5,19.94
40,0.01,799.6,19.94
41,0.01,799.4,19.94
42,0.01,799.4,19.95
43,0.01,799.5,19.93
44,0.01,799.6,19.89
45,0.01,799.5,19.95
46,0.01,799.5,19.97
47,0.01,799.4,19.97
48,0.01,799.5,19.96
49,0.01,799.6,19.96
50,0.01,799.3,19.96
51,0.01,799.4,19.99
52,0.01,799.4,19.99
53,0.01,799.4,20
54,0.01,799.5,19.99
55,0.01,799.4,19.97
56,0.01,799.5,20
57,0.01,799.4,20
58,0.01,799.5,20.01
59,0.01,799.6,20.01
60,0.01,799.5,20.01
61,0.01,799.4,20.01
62,0.01,799.5,20.01
63,0.01,799.4,20.01
64,0.01,799.5,20.03
65,0.01,799.5,20.01
66,0.01,799.6,20.01
67,0.01,799.5,20.02
68,0.01,799.3,20.03
69,0.01,799.7,20.01
70,0.01,799.5,20.01
71,0.01,799.4,20.03
72,0.01,799.5,20.01
73,0.01,799.4,20.03
74,0.01,799.5,20.03
75,0.01,799.6,20.02
76,0.01,799.6,20.03
77,0.01,799.5,20.02
78,0.01,799.5,20.02
79,0.01,799.4,20.04
80,0.01,799.5,20.02
81,0.01,799.7,20.03
