elapsed_s,power_mA,temperature_C
0,0.001,799.3
0.5,0.001,799.5
1,0.001,799.4
1.5,0.001,799.5
2,0.001,799.5
2.5,0.001,799.5
3,0.001,799.5
3.5,0.001,799.4
4,0.001,799.5
4.5,0.001,799.4
5,0.001,799.4
5.5,0.0109,799.4
6,0.0208,799.4
6.5,0.0307,799.5
7,0.0406,799.5
7.5,0.0505,799.5
8,0.0604,799.4
8.5,0.0703,799.5
9,0.0802,799.7
9.5,0.0901,799.5
10,0.1,799.5
10.5,0.1001,799.4
11,0.1003,799.6
11.5,0.1004,799.6
12,0.1006,799.3
12.5,0.1007,799.5
13,0.1009,799.4
13.5,0.101,799.6
14,0.1012,799.5
14.5,0.1013,800.3
15,0.1015,799.5
15.5,0.1016,799.4
16,0.1017,799.7
16.5,0.1019,799.3
17,0.102,799.4
17.5,0.1022,799.5
18,0.1023,799
18.5,0.1025,799.5
19,0.1026,799.4
19.5,0.1028,799.6
20,0.1029,799.6
20.5,0.1031,799.4
21,0.1032,799.3
21.5,0.1034,799.6
22,0.1035,799.4
22.5,0.1036,799.4
23,0.1038,799.5
23.5,0.1039,799
24,0.1041,799.5
24.5,0.1042,799.3
25,0.1044,799.4
25.5,0.1045,799.5
26,0.1047,799.6
26.5,0.1048,799.4
27,0.105,799.5
27.5,0.1051,799.2
28,0.1052,799.4
28.5,0.1054,799.7
29,0.1055,799.4
29.5,0.1057,799.5
30,0.1058,799.5
30.5,0.106,799.5
31,0.1061,799.4
31.5,0.1063,799.5
32,0.1064,799.5
32.5,0.1066,799.4
33,0.1067,799.5
33.5,0.1069,799.5
34,0.107,799.4
34.5,0.1071,799.5
35,0.1073,799.4
35.5,0.1074,799.5
36,0.1076,799.4
36.5,0.1077,799.7
37,0.1079,799.5
37.5,0.108,799.6
38,0.1082,799.6
38.5,0.1083,799.4
39,0.1085,799.6
39.5,0.1086,799.7
40,0.1087,799.5
40.5,0.1089,799.8
41,0.109,799.5
41.5,0.1092,799.7
42,0.1093,799.5
42.5,0.1095,799.5
43,0.1096,799.4
43.5,0.1098,800.3
44,0.1099,799.5
44.5,0.1101,799.5
45,0.1102,799.5
45.5,0.1104,799.6
46,0.1105,799.5
46.5,0.1106,799.4
47,0.1108,799.5
47.5,0.1109,799
48,0.1111,799.4
48.5,0.1112,799.5
49,0.1114,799.4
49.5,0.1115,799.3
50,0.1117,799.5
50.5,0.1118,799.5
51,0.112,799.4
51.5,0.1121,799.5
52,0.1123,799.5
52.5,0.1124,799.5
53,0.1125,799.4
53.5,0.1127,799.5
54,0.1128,799.5
54.5,0.113,799.6
55,0.1131,799.5
55.5,0.1133,799.4
56,0.1134,799.7
56.5,0.1136,799.6
57,0.1137,799.4
57.5,0.1139,799.4
58,0.114,799.4
58.5,0.1141,799.8
59,0.1143,799.4
59.5,0.1144,799.4
60,0.1146,799.5
60.5,0.1147,799.4
61,0.1149,799.4
61.5,0.115,799.4
62,0.1152,799.4
62.5,0.1153,799.5
63,0.1155,799.8
63.5,0.1156,799.7
64,0.1158,799.5
64.5,0.1159,799.4
65,0.116,799.5
65.5,0.1162,799.5
66,0.1163,799.6
66.5,0.1165,799.5
67,0.1166,799.4
67.5,0.1168,799.4
68,0.1169,799.4
68.5,0.1171,799.5
69,0.1172,799.5
69.5,0.1174,799.5
70,0.1175,799.4
70.5,0.1176,799
71,0.1178,799.4
71.5,0.1179,799.6
72,0.1181,799.6
72.5,0.1182,799.6
73,0.1184,799.4
73.5,0.1185,799.6
74,0.1187,799.4
74.5,0.1188,799.5
75,0.119,799.5
75.5,0.1191,799.7
76,0.1192,799.5
76.5,0.1194,799.4
77,0.1195,799.5
77.5,0.1197,799.5
78,0.1198,799.6
78.5,0.12,799.5
79,0.1201,799.4
79.5,0.1203,799.5
80,0.1204,799.5
80.5,0.1206,799.5
81,0.1207,799.4
81.5,0.1209,799.3
82,0.121,799.4
82.5,0.1211,799.7
83,0.1213,799.7
83.5,0.1214,799.5
84,0.1216,799.6
84.5,0.1217,799.4
85,0.1219,799.4
85.5,0.122,799.4
86,0.1222,799.4
86.5,0.1223,799.4
87,0.1225,799.4
87.5,0.1226,799
88,0.1227,799.3
88.5,0.1229,799.4
89,0.123,799.4
89.5,0.1232,799.6
90,0.1233,799.5
90.5,0.1235,799.6
91,0.1236,799.6
91.5,0.1238,799.7
92,0.1239,799.4
92.5,0.1241,799.5
93,0.1242,799.6
93.5,0.1244,799.5
94,0.1245,799.5
94.5,0.1246,799.4
95,0.1248,799.6
95.5,0.1249,799.4
96,0.1251,799.6
96.5,0.1252,799.7
97,0.1254,799.5
97.5,0.1255,799.5
98,0.1257,799.4
98.5,0.1258,799.4
99,0.126,799.3
