elapsed_s,power_mA,temperature_C
0,0,795.4
1.531,0,795.4
3.062,0,795.5
4.593,0,795.4
6.124,0,795.4
7.655,0,795.5
9.186,0.02,795.5
10.72,0.04,795.5
12.25,0.06,795.5
13.78,0.08,795.5
15.31,0.1,795.7
16.84,0.1001,795.5
18.37,0.1003,795.4
19.9,0.1004,795.4
21.43,0.1005,795
22.97,0.1006,795.4
24.5,0.1008,795.3
26.03,0.1009,795.4
27.56,0.101,795.4
29.09,0.1011,795.4
30.62,0.1013,795.4
32.15,0.1014,795.5
33.68,0.1015,795.5
35.21,0.1016,795.5
36.74,0.1017,795.6
38.28,0.1019,795.7
39.81,0.102,795.5
41.34,0.1021,795.4
42.87,0.1022,795.4
44.4,0.1024,795.4
45.93,0.1025,795.4
47.46,0.1026,795.5
48.99,0.1027,795.5
50.52,0.1029,795.4
52.05,0.103,795.4
53.59,0.1031,795.6
55.12,0.1032,795.5
56.65,0.1034,795.5
58.18,0.1035,795.4
59.71,0.1036,795
61.24,0.1037,795.5
62.77,0.1039,795.7
64.3,0.104,795.4
65.83,0.1041,795.5
67.36,0.1042,795.4
68.9,0.1044,795
70.43,0.1045,795.5
71.96,0.1046,795.4
73.49,0.1047,795.4
75.02,0.1049,795.6
76.55,0.105,795.4
78.08,0.1051,795.5
79.61,0.1052,795.5
81.14,0.1054,795.5
82.67,0.1055,795.5
84.21,0.1056,795.5
85.74,0.1057,795.5
87.27,0.1059,795.6
88.8,0.106,795.5
90.33,0.1061,795.5
91.86,0.1062,795.4
93.39,0.1064,795.4
94.92,0.1065,795.4
96.45,0.1066,795.5
97.98,0.1067,795.6
99.52,0.1069,795.4
101,0.107,795.4
102.6,0.1071,795.4
104.1,0.1072,795.4
105.6,0.1074,795.4
107.2,0.1075,795.4
108.7,0.1076,795.5
110.2,0.1077,795.5
111.8,0.1079,795.6
113.3,0.108,795.5
114.8,0.1081,795.4
116.4,0.1082,795.6
117.9,0.1084,795.4
119.4,0.1085,795.4
120.9,0.1086,795.4
122.5,0.1087,795.5
124,0.1089,795.5
125.5,0.109,795.7
127.1,0.1091,795.5
128.6,0.1092,795.4
130.1,0.1094,795.5
131.7,0.1095,795.5
133.2,0.1096,795.6
134.7,0.1098,795.4
136.3,0.1099,795.7
137.8,0.11,795.3
