elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.6,0.02251
1,0.01075,799.5,0.03298
2,0.0115,799.5,0.02251
3,0.01225,799.7,0.02251
4,0.013,799.5,0.02251
5,0.01375,799.5,0.03298
6,0.0145,799.6,0.02251
7,0.01525,799.5,0.02251
8,0.016,799.6,0.02251
9,0.01675,799.6,0.02251
10,0.0175,799.4,0.02251
11,0.01825,799.6,0.02251
12,0.019,799.5,0.02251
13,0.01975,799.4,0.02251
14,0.0205,799.5,0.02251
15,0.02125,799.5,0.01204
16,0.022,799.5,0.03298
17,0.02275,799.6,0.02251
18,0.0235,799.3,0.03298
19,0.02425,799.5,0.03298
20,0.025,799.6,0.02251
21,0.02575,799.6,0.02251
22,0.0265,799.5,0.02251
23,0.02725,799.4,21.38
24,0.028,799.5,21.38
25,0.02875,799.5,21.38
26,0.0295,799.4,21.38
27,0.03025,799.5,21.38
28,0.031,799.6,21.38
29,0.03175,799.6,21.38
30,0.0325,799.4,21.38
31,0.03325,799.5,21.38
32,0.034,799.4,21.38
33,0.03475,799.7,21.38
34,0.0355,799.6,18.7
35,0.03625,799.4,5.707
36,0.037,799.5,19.71
37,0.03775,799.7,21.38
38,0.0385,799.5,19.92
39,0.03925,799.5,19.63
40,0.04,799.5,19.89
41,0.04075,799.5,19.95
42,0.0415,799.3,19.93
43,0.04225,799.6,19.94
44,0.043,799.5,19.94
45,0.04375,799.5,19.95
46,0.0445,799.6,19.95
47,0.04525,799.6,19.97
48,0.046,799.5,19.96
49,0.04675,799.5,19.96
50,0.0475,799.5,19.99
51,0.04825,799.5,19.97
52,0.049,799.4,19.99
53,0.04975,799.5,19.96
54,0.0505,799.4,19.97
55,0.05125,799.5,19.99
56,0.052,799.4,19.99
57,0.05275,799.6,20.01
58,0.0535,799.6,20
59,0.05425,799.4,19.99
60,0.055,799.6,19.99
61,0.05575,799.5,20
62,0.0565,799.5,19.99
63,0.05725,799.4,19.99
64,0.058,799.4,20
65,0.05875,799.5,20
