elapsed_s,power_mA,temperature_C
0,0.001,799.5
0.5,0.001,799.6
1,0.001,799.5
1.5,0.001,799.6
2,0.001,799.3
2.5,0.001,799.5
3,0.001,799.6
3.5,0.001,799.4
4,0.001,799.4
4.5,0.001,799.4
5,0.001,799.4
5.5,0.0109,799.6
6,0.0208,799.5
6.5,0.0307,799.4
7,0.0406,799.5
7.5,0.0505,799.3
8,0.0604,799.3
8.5,0.0703,799.5
9,0.0802,799.8
9.5,0.0901,799.4
10,0.1,799.4
10.5,0.1001,799.4
11,0.1003,799
11.5,0.1004,799.5
12,0.1006,799.5
12.5,0.1007,799.7
13,0.1009,799.4
13.5,0.101,799.7
14,0.1012,799.2
14.5,0.1013,799.6
15,0.1015,799.5
15.5,0.1016,799.4
16,0.1017,799.4
16.5,0.1019,799.4
17,0.102,799.4
17.5,0.1022,799.6
18,0.1023,799
18.5,0.1025,799.6
19,0.1026,799.5
19.5,0.1028,799.4
20,0.1029,799.5
20.5,0.1031,799.6
21,0.1032,799
21.5,0.1034,799.5
22,0.1035,799.7
22.5,0.1036,799.6
23,0.1038,799.5
23.5,0.1039,799.6
24,0.1041,799.4
24.5,0.1042,799.5
25,0.1044,799.5
25.5,0.1045,799
26,0.1047,799.5
26.5,0.1048,799.6
27,0.105,799.5
27.5,0.1051,799.4
28,0.1052,799.6
28.5,0.1054,799.5
29,0.1055,799.5
29.5,0.1057,799.4
30,0.1058,799.7
30.5,0.106,799.5
31,0.1061,799.6
31.5,0.1063,799.8
32,0.1064,799.5
32.5,0.1066,799.5
33,0.1067,799
33.5,0.1069,799.5
34,0.107,799.6
34.5,0.1071,799.5
35,0.1073,799.5
35.5,0.1074,799.4
36,0.1076,799.5
36.5,0.1077,799.5
37,0.1079,799.4
37.5,0.108,799
38,0.1082,799.4
38.5,0.1083,799.5
39,0.1085,799.2
39.5,0.1086,799.5
40,0.1087,799.5
40.5,0.1089,799
41,0.109,799.9
41.5,0.1092,799
42,0.1093,799
42.5,0.1095,799.5
43,0.1096,799.5
43.5,0.1098,799.4
44,0.1099,799.5
44.5,0.1101,804
45,0.1102,799.5
45.5,0.1104,799.5
46,0.1105,799.4
46.5,0.1106,799.6
47,0.1108,801.9
47.5,0.1109,799.6
48,0.1111,799.7
48.5,0.1112,799.4
49,0.1114,799
49.5,0.1115,800.5
50,0.1117,799.5
50.5,0.1118,799.5
51,0.112,799.4
51.5,0.1121,799.5
52,0.1123,799.5
52.5,0.1124,799.7
53,0.1125,799.8
53.5,0.1127,799.5
54,0.1128,799.6
54.5,0.113,799.5
55,0.1131,799.6
55.5,0.1133,799.4
56,0.1134,799.6
56.5,0.1136,799.4
57,0.1137,799.6
57.5,0.1139,799.6
58,0.114,799.6
58.5,0.1141,799.7
59,0.1143,799.6
59.5,0.1144,802.2
60,0.1146,799.7
60.5,0.1147,799.5
61,0.1149,799.2
61.5,0.115,799.4
62,0.1152,799.5
62.5,0.1153,799.6
63,0.1155,802.9
63.5,0.1156,799.6
64,0.1158,799.6
64.5,0.1159,799.5
65,0.116,799.4
65.5,0.1162,799.6
66,0.1163,799.4
66.5,0.1165,799.6
67,0.1166,799.5
67.5,0.1168,799.4
68,0.1169,799.5
68.5,0.1171,799.6
69,0.1172,799.5
69.5,0.1174,802.6
70,0.1175,799.5
70.5,0.1176,799.4
71,0.1178,799.6
71.5,0.1179,799.5
72,0.1181,799.4
72.5,0.1182,799.2
73,0.1184,799.4
73.5,0.1185,799.5
74,0.1187,799.5
74.5,0.1188,799.4
75,0.119,799.6
75.5,0.1191,799.4
76,0.1192,799.4
76.5,0.1194,799.5
77,0.1195,799.6
77.5,0.1197,799.5
78,0.1198,799.4
78.5,0.12,799
79,0.1201,799.5
79.5,0.1203,799.5
80,0.1204,799.4
80.5,0.1206,799.5
81,0.1207,799.2
81.5,0.1209,802
82,0.121,799.6
82.5,0.1211,799
83,0.1213,799.4
83.5,0.1214,799.8
84,0.1216,799.5
84.5,0.1217,799.5
85,0.1219,799.5
85.5,0.122,799.4
86,0.1222,799.3
86.5,0.1223,799.6
87,0.1225,799.5
87.5,0.1226,799.5
88,0.1227,799.5
88.5,0.1229,799.4
89,0.123,799.5
89.5,0.1232,799.5
90,0.1233,799.5
90.5,0.1235,799.4
91,0.1236,799.6
91.5,0.1238,799.5
92,0.1239,799.5
92.5,0.1241,799.5
93,0.1242,799.6
93.5,0.1244,799.5
94,0.1245,799.6
94.5,0.1246,800.1
95,0.1248,799.5
95.5,0.1249,799.4
96,0.1251,799.4
96.5,0.1252,799.5
97,0.1254,799.4
97.5,0.1255,799.6
98,0.1257,799.5
98.5,0.1258,799.6
99,0.126,799.5
99.5,0.1261,799
100,0.1263,799.5
100.5,0.1264,799.5
101,0.1265,799.5
101.5,0.1267,799
102,0.1268,799.4
102.5,0.127,799.6
103,0.1271,799
103.5,0.1273,799.5
104,0.1274,799.5
104.5,0.1276,799.5
105,0.1277,799.5
105.5,0.1279,799.6
106,0.128,799.5
106.5,0.1281,799.4
107,0.1283,799.4
107.5,0.1284,799.5
108,0.1286,799.5
108.5,0.1287,799.5
109,0.1289,804
109.5,0.129,799.5
110,0.1292,799.1
110.5,0.1293,799.6
111,0.1295,799.5
111.5,0.1296,799.5
112,0.1298,799.5
112.5,0.1299,799.5
113,0.13,799.5
113.5,0.1302,799.5
114,0.1303,799.5
114.5,0.1305,799.3
115,0.1306,799.5
115.5,0.1308,799.4
116,0.1309,799.5
116.5,0.1311,799.4
117,0.1312,799.5
117.5,0.1314,800.6
118,0.1315,799.4
