elapsed_s,power_mA,temperature_C
0,0,799
1.952,0,799
3.904,0.02,799
5.856,0.04,799
7.808,0.06,799
9.76,0.08,799
11.71,0.1,799
13.66,0.1,799
15.62,0.1001,799
17.57,0.1001,799
19.52,0.1001,799
21.47,0,799
23.42,0,799
25.38,0,799
27.33,0,799
29.28,0,799
31.23,0,799
33.18,0,799
35.14,0,799
37.09,0.02,799
39.04,0.04,799
40.99,0.06,799
42.94,0.08,799
44.9,0.1,799
46.85,0.1,799
48.8,0.1001,799
50.75,0.1001,799
52.7,0.1001,799
54.66,0.1001,799
56.61,0.1002,799
58.56,0.1002,799
60.51,0.1002,799
62.46,0.1003,799
64.42,0.1003,799
66.37,0.1003,799
68.32,0.1003,799
70.27,0.1004,799
72.22,0.1004,799
74.18,0.1004,799
76.13,0.1004,799
78.08,0,799
80.03,0,799
