elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.03298
1,0.01,799.6,0.02251
2,0.01,799.4,0.02251
3,0.01,799.4,0.02251
4,0.01,799.7,0.03298
5,0.01,799.4,0.02251
6,0.01,799.4,0.03298
7,0.01,799.5,0.03298
8,0.01,799.4,0.03298
9,0.01,799.4,0.02251
10,0.01,799.5,0.02251
11,0.01,799.4,0.03298
12,0.01,799.5,0.03298
13,0.01,799.5,0.02251
14,0.01,799.4,18.2
15,0.01,799.4,21.38
16,0.01,799.4,21.38
17,0.01,799.4,21.38
18,0.01,799.6,21.38
19,0.01,799.5,21.38
20,0.01,799.6,21.38
21,0.01,799.4,21.38
22,0.01,799.5,21.38
23,0.01,799.5,21.38
24,0.01,799.5,21.38
25,0.01,799.6,21.38
26,0.01,799.5,5.183
27,0.01,799.6,16.38
28,0.01,799.4,21.38
29,0.01,799.5,20.6
30,0.01,799.7,19.55
31,0.01,799.5,19.71
32,0.01,799.4,19.91
33,0.01,799.3,19.92
34,0.01,799.5,19.91
35,0.01,799.5,19.93
36,0.01,799.5,19.93
37,0.01,799.4,19.93
38,0.01,799.4,19.94
39,0.01,799.8,19.96
40,0.01,799.4,19.95
41,0.01,799.4,19.94
42,0.01,799.4,19.96
43,0.01,799.5,19.96
44,0.01,799.4,19.97
45,0.01,799.5,19.96
46,0.01,799.4,19.97
47,0.01,799.7,19.96
48,0.01,799.5,19.99
49,0.01,799.4,19.96
50,0.01,799.4,19.97
51,0.01,799.5,19.99
52,0.01,799.5,20
53,0.01,799.5,19.99
54,0.01,799.4,19.99
55,0.01,799.5,19.99
56,0.01,799.5,20
57,0.01,799.6,20
58,0.01,799.4,20.01
59,0.01,799.5,20
60,0.01,799.5,20
61,0.01,799.4,20.02
62,0.01,799.6,20.01
63,0.01,799.5,20.02
64,0.01,799.6,20.02
65,0.01,799.4,20.01
66,0.01,799.6,20.02
67,0.01,799.5,20.03
68,0.01,799.5,20.02
69,0.01,799.6,20.02
70,0.01,799.5,20.04
71,0.01,799.5,20.01
72,0.01,799.5,20.02
73,0.01,799.4,20.03
74,0.01,799.4,20
75,0.01,799.5,20.03
76,0.01,799.5,20.04
77,0.01,799.6,20
78,0.01,799.5,20.01
79,0.01,799.5,20.04
80,0.01,799.4,20.01
81,0.01,799.5,20.02
82,0.01,799.4,20.04
83,0.01,799.4,20.03
84,0.01,799.4,20.03
85,0.01,799.5,20.02
86,0.01,799.4,20.04
87,0.01,799.5,20.01
88,0.01,799.5,20.04
