elapsed_s,power_mA,temperature_C,flow_sccm
218,0.3298,799,20.02
219,0.331,799.2,20.04
220,0.3322,799.5,20.67
221,0.3334,799.4,20.48
222,0.3347,799,19.72
223,0.3359,799.3,20.75
224,0.3371,799.7,20.04
225,0.3383,799.4,20
226,0.3396,799.6,20.35
227,0.3408,801,19.85
228,0.342,799,20.84
229,0.3432,799.9,19.81
230,0.3444,799.4,20.02
231,0.3457,799.5,20.6
232,0.3469,799.2,19.82
233,0.3481,801,20.01
234,0.3493,799.5,20.33
235,0.3506,799.4,19.99
236,0.3518,799.5,20.04
237,0.353,799.5,20.04
238,0.3542,799.5,20.04
239,0.3554,799.4,20.14
240,0.3567,799.4,20.01
241,0.3579,799.5,19.96
242,0.3591,799.4,20.03
243,0.3603,799,20.04
244,0.3616,799.4,20.11
245,0.3628,799.3,19.9
246,0.364,799.4,20.12
247,0.3652,799.6,20.01
248,0.3664,799.5,20.04
249,0.3677,799.4,20.03
250,0.3689,801.5,20.04
251,0.3701,799.5,20.04
252,0.3713,799.6,20.01
253,0.3726,799.6,20.02
254,0.3738,802,19.9
255,0.375,799,20.02
256,0.3762,799.4,20.05
257,0.3774,799.5,20.04
258,0.3787,799.5,20.04
259,0.3799,799.5,20.04
260,0.3811,799.4,20.04
261,0.3823,799.6,20.02
262,0.3836,799.4,20.04
263,0.3848,799.4,20.09
264,0.386,799.5,20.06
265,0.3872,799.6,20.04
266,0.3884,799.5,20
267,0.3897,799.6,20.04
268,0.3909,799.4,20.04
269,0.3921,799.4,20.03
270,0.3933,799.5,20.07
271,0.3946,799.5,20.03
272,0.3958,799.4,20.07
273,0.397,799.5,20.01
274,0.3982,799,19.83
275,0.3994,799.6,19.94
276,0.4007,799.5,19.97
277,0.4019,799.5,20.18
278,0.4031,799,19.51
279,0.4043,799.5,20.04
280,0.4056,799,19.87
281,0.4068,799.4,19.94
282,0.408,799.4,20.01
283,0.4092,799.2,20.05
284,0.4104,799.6,20.04
285,0.4117,799.8,20.06
286,0.4129,799.6,20.02
287,0.4141,799.5,20.27
288,0.4153,799.6,20.52
289,0.4166,799.3,20
290,0.4178,799.4,19.99
291,0.419,799,20.02
292,0.4202,799.2,20.04
293,0.4214,799.1,19.95
294,0.4227,799.6,20.03
295,0.4239,799.6,19.55
296,0.4251,799.7,20.3
297,0.4263,799,20.04
298,0.4276,799.5,19.97
299,0.4288,799,19.95
300,0.43,799.4,20.08
301,0.4312,800.2,20.04
302,0.4324,799.3,19.97
303,0.4337,799.6,20.24
304,0.4349,799,19.8
305,0.4361,799.2,20.12
306,0.4373,799.5,19.58
307,0.4386,799.5,19.8
308,0.4398,802.2,20.14
309,0.441,799.2,20.04
310,0.4422,799.4,20
311,0.4434,799.4,20.01
312,0.4447,799.5,20.6
313,0.4459,799.5,20.15
314,0.4471,799.3,19.71
315,0.4483,799.2,20.1
316,0.4496,799.4,20.02
