elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.02251
1,0.019,799.3,0.03298
2,0.028,799.5,0.02251
3,0.037,799.4,0.02251
4,0.046,799.6,0.02251
5,0.055,799.6,0.02251
6,0.064,799.5,0.02251
7,0.073,799.5,0.02251
8,0.082,799.4,0.02251
9,0.091,799.4,0.02251
10,0.1,799.4,0.03298
11,0.1008,799.6,0.02251
12,0.1015,799.7,0.03298
13,0.1022,799.4,0.02251
14,0.103,799.5,0.02251
15,0.1037,799.5,0.02251
16,0.1045,799.6,0.02251
17,0.1052,799.5,0.02251
18,0.106,799.5,0.02251
19,0.1067,799.4,1.394
20,0.1075,799.5,21.38
21,0.1082,799.4,21.38
22,0.109,799.3,21.38
23,0.1098,799.4,21.38
24,0.1105,799.5,21.38
25,0.1113,799.5,21.38
26,0.112,799.7,21.38
27,0.1128,799.4,21.38
28,0.1135,799.5,21.38
29,0.1143,799.5,21.38
30,0.115,799.6,11.34
31,0.1158,799.5,7.58
32,0.1165,799.5,21.38
33,0.1172,799.4,20.67
34,0.118,799.4,19.59
35,0.1187,799.6,19.8
36,0.1087,799.5,19.9
37,0.109,799.4,19.9
38,0.1093,799.5,19.92
39,0.1097,799.3,19.91
40,0.11,799.5,19.92
41,0.1103,799.4,19.92
42,0.1107,799.5,19.95
43,0.111,799.4,19.95
44,0.1113,799.4,19.94
45,0.1117,799.5,19.96
46,0.112,799.4,19.95
47,0.1123,799.6,19.96
48,0.1127,799.2,19.96
49,0.113,799.6,19.95
50,0.1133,799.6,19.97
51,0.1137,799.4,19.99
52,0.114,799.5,19.99
53,0.1143,799.4,20.01
54,0.1147,799.4,20
55,0.115,799.4,20
56,0.1153,799.5,20
57,0.1157,799.3,19.99
58,0.116,799,19.99
59,0.1163,799.5,20
60,0.1167,799.4,20.01
61,0.117,799.4,20.01
62,0.1173,799.5,20.01
63,0.1177,799.4,20.03
64,0.118,799.4,20.01
65,0.1183,799.4,20.02
66,0.1187,799.4,20
67,0.119,799.4,20.01
68,0.1193,799.4,20.01
69,0.1197,799.7,20.02
70,0.12,799.5,20.03
71,0.1203,799.4,20
72,0.1207,799.6,20.02
73,0.121,799.6,20.04
74,0.1213,799.4,20.01
75,0.1217,799.5,20.02
76,0.122,799.3,20.02
77,0.1223,799.4,20.02
78,0.1227,799.4,20.01
79,0.123,799.5,20.02
80,0.1233,799.5,20.04
81,0.1237,799.6,20.02
82,0.124,799.4,20.04
83,0.1243,799.6,20.02
84,0.1247,799.6,20.01
85,0.125,799.5,20.03
86,0.1253,799.6,20
87,0.1257,799.5,20.03
88,0.126,799.5,20.05
89,0.1263,799.5,20.01
90,0.1267,799.4,20.02
91,0.127,799.4,20.05
92,0.1273,799.5,20.03
93,0.1277,799.4,20.02
94,0.128,799.3,20.01
95,0.1283,799.6,20.04
96,0.1287,799.5,20.01
97,0.129,799.5,20.03
98,0.1293,799.1,20.02
99,0.1297,799.4,20.04
100,0.13,799.5,20.02
101,0.1303,799.2,20.03
102,0.1307,799.5,20.04
103,0.131,799.3,20.04
104,0.1313,799.6,20
105,0.1317,799.3,20.03
106,0.132,799.5,20.05
107,0.1323,799.4,20.02
108,0.1327,799.4,20.04
109,0.133,799.4,20.04
110,0.1333,799.7,20.02
111,0.1337,799.5,20.04
112,0.134,799.4,20.03
113,0.1343,799.5,20.03
114,0.1347,799.5,20.01
115,0.135,799.5,20.05
116,0.1353,799.6,20.02
117,0.1357,799.4,20.04
118,0.136,799.3,20.03
119,0.1363,799.5,20.06
120,0.1367,799.3,20.02
121,0.137,799.5,20.03
122,0.1373,799.4,20.02
123,0.1377,799.6,20.06
124,0.138,799.4,20.04
125,0.1383,799.4,20.01
126,0.1387,799.5,20.06
127,0.139,799.4,20.02
128,0.1393,799.7,20.04
129,0.1397,799.5,20.02
130,0.14,799.5,20.04
