elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.03298
1,0.019,799.5,0.02251
2,0.028,799.4,0.02251
3,0.037,799.5,0.02251
4,0.046,799.5,0.02251
5,0.055,799.4,0.02251
6,0.064,799.5,0.02251
7,0.073,799.5,0.03298
8,0.082,799.7,0.02251
9,0.091,799.4,0.02251
10,0.1,799.5,0.02251
11,0.1032,799.5,0.02251
12,0.1065,799.5,0.02251
13,0.1098,799.4,0.03298
14,0.113,799.5,0.02251
15,0.1163,799.5,0.02251
16,0.1195,799.6,0.02251
17,0.1227,799.3,0.02251
18,0.126,799.6,0.02251
19,0.1293,799.6,0.02251
20,0.1325,799.4,0.03298
21,0.1358,799.5,0.03298
22,0.139,799.5,0.02251
23,0.1422,799,0.03298
24,0.1455,799.5,0.03298
25,0.1487,799.6,0.03298
26,0.152,799.5,0.02251
27,0.1552,799.5,0.02251
28,0.1585,799.5,0.02251
29,0.1618,799.4,0.02251
30,0.165,799.5,0.03298
31,0.1683,799.5,0.02251
32,0.1715,799.4,0.02251
33,0.1747,799.5,0.02251
34,0.178,799.5,0.02251
35,0.1812,799.5,0.02251
36,0.1845,799.6,0.02251
37,0.1878,799.6,0.02251
38,0.191,799.4,0.02251
39,0.1943,799.4,0.02251
40,0.1975,799.5,0.03298
41,0.2008,799,0.02251
42,0.204,799.5,0.03298
43,0.2072,799.4,0.02251
44,0.2105,799.4,0.02251
45,0.2137,799.6,0.02251
46,0.217,799.5,0.02251
47,0.2203,800.4,0.02251
48,0.2235,799.5,0.02251
49,0.2268,799.6,0.02251
50,0.23,799.4,0.02251
51,0.2333,799.2,0.02251
52,0.2365,799.5,0.03298
53,0.2397,799.5,0.03298
54,0.243,799.6,0.02251
55,0.2462,799.1,0.02251
56,0.2495,799.5,0.02251
57,0.2527,799,0.02251
58,0.256,799.4,0.03298
59,0.2592,799.5,0.02251
60,0.2625,799,0.02251
61,0.2657,799.4,0.02251
62,0.269,799.6,0.02251
63,0.2722,799.1,0.02251
64,0.2755,799.2,0.02251
65,0.2787,799.2,0.02251
66,0.282,799.5,0.02251
67,0.2853,799.4,0.02251
68,0.2885,799.5,0.03298
69,0.2918,799.4,0.02251
70,0.295,799.4,0.02251
71,0.2983,799.5,0.02251
72,0.3015,800.6,0.02251
73,0.3048,799.5,0.03298
74,0.308,799.4,0.02251
75,0.3113,799.7,0.01204
76,0.3145,799.5,0.02251
77,0.3177,799.4,0.02251
78,0.321,799.6,0.02251
79,0.3242,799.5,0.02251
80,0.3275,799.4,0.02251
81,0.3307,799.5,0.02251
82,0.334,799.3,0.03298
83,0.3372,799.9,0.02251
84,0.3405,799.5,0.02251
85,0.3438,799.4,0.03298
86,0.347,799.5,0.02251
87,0.3503,799.7,0.03298
88,0.3535,799.4,0.02251
89,0.3568,799.5,0.02251
90,0.36,799.6,0.02251
91,0.3633,799.5,0.02251
92,0.3665,799.7,0.02251
93,0.3698,799.7,0.02251
94,0.373,799.5,0.03298
95,0.3762,799.1,0.01204
96,0.3795,799.1,0.02251
97,0.3827,799.1,0.02251
98,0.386,799.5,0.001575
99,0.3892,799,0.02251
100,0.3925,799.2,0.03298
101,0.3957,799.6,0.02251
102,0.399,799.5,0.03298
103,0.4022,799.5,0.02251
104,0.4055,799.4,0.02251
105,0.4088,799.5,0.02251
106,0.412,799.4,0.03298
107,0.4153,799.4,0.01204
108,0.4185,799.6,0.02251
109,0.4218,799.3,0.02251
110,0.425,799.5,0.02251
111,0.4283,799.5,0.02251
112,0.4315,799,0.02251
113,0.4348,799,0.02251
114,0.438,799.6,0.02251
115,0.4412,799.6,0.03298
116,0.4445,799.2,0.03298
117,0.4477,799.3,0.02251
118,0.451,800.1,0.02251
119,0.4542,799.3,0.02251
120,0.4575,800.2,0.02251
121,0.4607,800.1,0.02251
122,0.464,799.3,0.02251
123,0.4672,799.8,0.01204
124,0.4705,799.7,0.02251
125,0.4738,799.7,0.02251
126,0.477,799.5,0.03298
127,0.4803,799.5,0.001575
128,0.4835,799.5,0.01204
129,0.4868,800.3,0.02251
130,0.49,799.3,0.01204
131,0.4933,799.4,21.38
132,0.4965,799.5,21.38
133,0.4998,799.5,21.38
134,0.503,799.1,21.38
135,0.5062,799,21.38
136,0.5095,800.8,21.38
137,0.5128,799.6,21.38
138,0.516,799.5,21.38
139,0.5192,799.5,21.38
140,0.5225,799.6,21.38
141,0.5258,799.7,21.38
142,0.529,799.1,4.67
143,0.5323,799.4,18.46
144,0.5355,799.5,21.38
145,0.5387,799,19.86
146,0.542,800.1,19.77
147,0.5453,799.6,19.94
148,0.5485,799.3,19.96
149,0.5517,799.4,19.95
150,0.555,799.7,19.96
151,0.5583,799.4,19.97
152,0.5615,799.4,19.97
153,0.5647,799.5,19.99
154,0.568,799.2,20
155,0.5713,799.5,20
156,0.5745,799.5,19.97
157,0.5777,799.5,20
158,0.581,799.5,19.99
159,0.5843,799.9,20
160,0.5875,800.4,20
161,0.5907,799.3,19.99
