elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.3,0.02251
1,0.01075,799.5,0.02251
2,0.0115,799.4,0.02251
3,0.01225,799.4,0.03298
4,0.013,799.4,0.02251
5,0.01375,799.4,0.02251
6,0.0145,799.5,0.03298
7,0.01525,799.4,0.02251
8,0.016,799.4,0.02251
9,0.01675,799.5,0.02251
10,0.0175,799.5,0.02251
11,0.01825,799.5,0.02251
12,0.019,799.5,0.02251
13,0.01975,799.3,0.02251
14,0.0205,799.4,0.03298
15,0.02125,799.5,0.02251
16,0.022,799.6,0.02251
17,0.02275,799.4,0.03298
18,0.0235,799.5,0.02251
19,0.02425,799.4,0.03298
20,0.025,799.4,0.02251
21,0.02575,799.7,0.03298
22,0.0265,799.5,0.02251
23,0.02725,799.5,0.02251
24,0.028,799.4,0.02251
25,0.02875,799.4,0.03298
26,0.0295,799.4,0.03298
27,0.03025,799.4,0.02251
28,0.031,799.5,0.02251
29,0.03175,799.5,0.02251
30,0.0325,799.6,0.02251
31,0.03325,799.5,0.02251
32,0.034,799.5,0.02251
33,0.03475,799.4,0.02251
34,0.0355,799.4,0.03298
35,0.03625,799.3,0.02251
36,0.037,799.4,0.02251
37,0.03775,799.6,0.02251
38,0.0385,799.5,0.02251
39,0.03925,799.4,0.02251
40,0.04,799.4,0.03298
41,0.04075,799.7,0.03298
42,0.0415,799.4,0.02251
43,0.04225,799.3,0.02251
44,0.043,799.6,0.02251
45,0.04375,799.5,0.03298
46,0.0445,799.5,0.02251
47,0.04525,799.5,0.02251
48,0.046,799.5,0.02251
49,0.04675,799.4,0.02251
50,0.0475,799.5,0.03298
51,0.04825,799.5,0.02251
52,0.049,799.5,0.03298
53,0.04975,799.4,0.02251
54,0.0505,799.4,0.03298
55,0.05125,799.5,0.02251
56,0.052,799.5,0.02251
57,0.05275,799.6,0.02251
58,0.0535,799.4,0.03298
59,0.05425,799.5,0.02251
60,0.055,799.5,0.02251
61,0.05575,799.5,0.02251
62,0.0565,799.7,0.02251
63,0.05725,799.4,0.02251
64,0.058,799.5,0.02251
65,0.05875,799.4,0.02251
66,0.0595,799.5,0.02251
67,0.06025,799.5,0.02251
68,0.061,799.5,0.02251
69,0.06175,799.3,0.03298
70,0.0625,799.5,0.02251
71,0.06325,799.6,0.02251
72,0.064,799.4,0.02251
73,0.06475,799.5,0.03298
74,0.0655,799.4,0.02251
75,0.06625,799.3,0.02251
76,0.067,799.5,0.03298
77,0.06775,799.4,0.03298
78,0.0685,799.5,0.02251
79,0.06925,799.5,0.03298
80,0.07,799.5,0.03298
81,0.07075,799.5,0.02251
82,0.0715,799.5,0.02251
83,0.07225,799.7,0.02251
84,0.073,799.5,0.03298
85,0.07375,799.6,0.02251
86,0.0745,799.5,0.03298
87,0.07525,799.6,0.02251
88,0.076,799.5,0.02251
89,0.07675,799.5,0.02251
90,0.0775,799.5,0.03298
91,0.07825,799.4,0.02251
92,0.079,799.5,0.02251
93,0.07975,799.4,0.02251
94,0.0805,799.4,0.02251
95,0.08125,799.5,0.02251
96,0.082,799.5,0.02251
97,0.08275,799.5,0.03298
98,0.0835,799.5,0.02251
99,0.08425,799.5,0.02251
100,0.085,799.4,0.02251
101,0.08575,799.3,0.03298
102,0.0865,799.4,0.03298
103,0.08725,799.6,0.02251
104,0.088,799.4,0.03298
105,0.08875,799.5,0.02251
106,0.0895,799.4,0.02251
107,0.09025,799.4,0.02251
108,0.091,799.4,0.02251
109,0.09175,799.4,0.03298
110,0.0925,799.5,0.02251
111,0.09325,799.6,0.02251
112,0.094,799.5,0.03298
113,0.09475,799.6,0.02251
114,0.0955,799.3,0.02251
115,0.09625,799.5,0.02251
116,0.097,799.5,0.02251
117,0.09775,799.2,0.02251
118,0.0985,799.5,0.02251
119,0.09925,799,0.02251
120,0.1,799.5,0.02251
121,0.1008,799.6,0.02251
122,0.1015,799.4,0.02251
123,0.1022,799.5,0.02251
124,0.103,799.6,0.02251
125,0.1037,799.4,0.02251
126,0.1045,799.5,0.02251
127,0.1052,799.5,0.02251
128,0.106,799.4,0.02251
129,0.1067,799.5,0.01204
130,0.1075,799.4,0.01204
