elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.02251
5,0.01375,799.5,0.03298
10,0.0175,799.4,0.02251
15,0.02125,799.5,0.02251
20,0.025,799.6,0.02251
25,0.02875,799.5,21.38
30,0.0325,799.5,21.38
35,0.03625,799.5,20.47
40,0.04,799.3,19.91
45,0.04375,799.4,19.95
50,0.0475,799.4,19.97
55,0.05125,799.4,19.99
60,0.055,799.4,20
65,0.05875,799.4,20.03
70,0.0625,799.5,20.04
75,0.06625,799.5,20.01
80,0.07,799.6,19.99
85,0.07375,799.5,20.02
90,0.0775,799.5,20.03
95,0.08125,799.5,20.04
100,0.085,799.4,20
105,0.08875,799.5,20.03
110,0.0925,799.5,20.04
115,0.09625,799.5,20.03
120,0.1,799.5,20.03
125,0.1079,799.4,20.03
130,0.1158,799.4,20
135,0.1237,799.4,20.02
140,0.1317,799.9,20.02
145,0.1396,799.5,20.04
150,0.1475,799.2,20.06
155,0.1554,799.7,20.04
160,0.1633,799.5,20.02
165,0.1713,799.4,20.04
170,0.1792,799.4,20.06
175,0.1871,799.4,20.03
180,0.195,799.5,20.04
185,0.2029,799.5,20.03
190,0.2108,800.3,20.04
195,0.2188,799.4,20.05
200,0.2267,799.1,20.03
205,0.2346,799.5,20.04
210,0.2425,799,20.03
215,0.2504,799.5,20.03
220,0.2583,799.5,20.04
225,0.2662,799.5,20.04
230,0.2742,799.4,20.02
235,0.2821,799.4,20.06
240,0.29,799,20.04
245,0.2979,799.5,20.05
250,0.3058,799.4,20.04
255,0.3137,799.4,20.03
260,0.3217,800.3,20.04
265,0.3296,799.6,20.06
270,0.3375,799.5,20.04
275,0.3454,799.2,20.05
280,0.3533,799.5,20.04
285,0.3613,799.4,20.04
290,0.3692,799.4,20.06
295,0.3771,799.5,20.04
300,0.385,799.4,20.05
305,0.3929,799,20.05
310,0.4008,799.3,20.04
315,0.4088,799.4,20.06
320,0.4167,799.4,20.04
325,0.4246,799.8,20.06
330,0.4325,799.5,20.04
335,0.4404,799.5,20.06
340,0.4483,799.8,20.05
345,0.4562,799.4,20.04
350,0.4642,814.7,20.06
355,0.4721,828.7,20.05
360,0.48,841.1,20.06
365,0.4879,852.8,20.06
370,0.4879,864,20.03
375,0.4713,873.2,20.02
380,0.4546,880.4,20.04
385,0.4379,884.8,20.05
390,0.4546,886.4,20.04
395,0.4713,887.9,20.05
400,0.4879,890.4,20.06
405,0.5046,896.3,20.02
410,0.4879,903.2,20.05
415,0.4713,907.9,20.04
420,0.4546,909.8,20.06
425,0.4379,911,20.04
430,0.4213,909.1,20.06
435,0.4046,904.3,20.04
440,0.4213,893.8,20.06
445,0.4379,885.7,20.05
450,0.4546,884.4,20.06
455,0.4713,886.5,20.03
460,0.4879,891,20.06
465,0.5046,897.1,20.06
470,0.4879,904.1,20.04
475,0.4713,909.5,20.03
480,0.4546,911.9,20.04
485,0.4379,913.4,20.06
490,0.4213,911,20.06
495,0.4046,905.4,20.04
500,0.4213,894.1,20.04
505,0.4379,884.4,20.05
510,0.4546,882.4,20.05
515,0.4713,885.1,20.04
520,0.4879,891.7,20.04
525,0.5046,896,20.04
530,0.5212,905,20.03
535,0.5046,912.9,20.04
540,0.4879,919.3,20.05
545,0.4713,921.9,20.07
550,0.4546,925,20.05
555,0.4379,924.3,20.04
560,0.4213,920.3,20.06
565,0.4046,914,20.04
570,0.4213,901,20.06
575,0.4379,888.7,20.06
580,0.4546,884.1,20.04
585,0.4713,887.8,20.05
590,0.4879,890.8,20.04
595,0.5046,898.6,20.04
600,0.4879,905.8,20.05
605,0.4713,912.2,20.06
610,0.4546,915.6,20.04
615,0.4379,915.1,20.06
620,0.4213,914.4,20.03
625,0.4046,908.1,20.05
630,0.4213,896.9,20.05
635,0.4379,885.4,20.04
640,0.4546,881.8,20.05
645,0.4713,886.2,20.05
650,0.4879,890.5,20.05
655,0.5046,897.4,20.06
