elapsed_s,power_mA,temperature_C
0,0,795.3
4.81,0,795.4
9.62,0,795.5
14.43,0,795.4
19.24,0,795.4
24.05,0,795.6
28.86,0.02,795.5
33.67,0.04,795.4
38.48,0.06,795.5
43.29,0.08,795.4
48.1,0.1,795.5
52.91,0.1001,795.5
57.72,0.1003,795.4
62.53,0.1004,795.5
67.34,0.1005,795.3
72.15,0.1006,795.5
76.96,0.1008,795.4
81.77,0.1009,795.6
86.58,0.101,795.4
91.39,0.1011,795.5
96.2,0.1013,795.4
101,0.1014,795.7
105.8,0.1015,795.5
110.6,0.1016,795.6
115.4,0.1017,795
120.2,0.1019,795.5
125.1,0.102,795.4
129.9,0.1021,795.5
134.7,0.1022,795.6
139.5,0.1024,795.4
144.3,0.1025,795.5
149.1,0.1026,795.5
153.9,0.1027,795.5
158.7,0.1029,795
163.5,0.103,795
168.3,0.1031,795.2
173.2,0.1032,795.4
178,0.1034,796.1
182.8,0.1035,795.5
187.6,0.1036,795
192.4,0.1037,795.5
197.2,0.1039,795.5
202,0.104,795.4
206.8,0.1041,795
211.6,0.1042,795.4
216.4,0.1044,795.5
221.3,0.1045,795.8
226.1,0.1046,795.6
230.9,0.1047,795.5
235.7,0.1049,795.6
240.5,0.105,795.4
245.3,0.1051,795.5
250.1,0.1052,795.5
254.9,0.1054,795.5
259.7,0.1055,795.4
264.5,0.1056,795.4
269.4,0.1057,795.6
274.2,0.1059,795.5
279,0.106,795.4
283.8,0.1061,795.4
288.6,0.1062,795.5
293.4,0.1064,795.3
298.2,0.1065,795.3
303,0.1066,795.4
307.8,0.1067,795.6
312.6,0.1069,795.6
317.5,0.107,795.4
322.3,0.1071,795.5
327.1,0.1072,795
331.9,0.1074,795.5
336.7,0.1075,795.4
341.5,0.1076,797.1
346.3,0.1077,795.4
351.1,0.1079,795.4
355.9,0.108,795.4
360.7,0.1081,795.6
365.6,0.1082,795.4
370.4,0.1084,795.4
375.2,0.1085,795.4
380,0.1086,795.4
384.8,0.1087,795.4
389.6,0.1089,795.5
394.4,0.109,795.6
399.2,0.1091,795.5
404,0.1092,795.5
408.8,0.1094,795.4
413.7,0.1095,795.5
418.5,0.1096,795.5
423.3,0.1098,795.5
428.1,0.1099,795.5
432.9,0.11,795.4
437.7,0.1101,795.5
442.5,0.1103,795.6
447.3,0.1104,795.5
452.1,0.1105,795.3
456.9,0.1106,795.4
461.8,0.1108,795.4
466.6,0.1109,795.5
471.4,0.111,795.5
476.2,0.1111,795.4
481,0.1113,795.4
485.8,0.1114,795.7
490.6,0.1115,795.4
495.4,0.1116,795.4
500.2,0.1118,795.5
505,0.1119,795.4
509.9,0.112,795.4
514.7,0.1121,795.4
519.5,0.1123,795.4
524.3,0.1124,795.7
529.1,0.1125,795.4
533.9,0.1126,795.5
538.7,0.1128,795.7
543.5,0.1129,795.7
548.3,0.113,795.5
553.1,0.1131,795.4
558,0.1133,795.5
562.8,0.1134,795.6
567.6,0.1135,795.6
572.4,0.1136,795.5
577.2,0.1138,795.3
582,0.1139,795.5
586.8,0.114,795.4
591.6,0.1141,795.4
596.4,0.1143,795.4
601.2,0.1144,795.8
606.1,0.1145,795.6
610.9,0.1146,795.4
615.7,0.1148,795.6
620.5,0.1149,795.8
625.3,0.115,795.4
630.1,0.1151,795.5
634.9,0.1153,795.5
639.7,0.1154,795.5
644.5,0.1155,795.5
649.3,0.1156,795.5
654.2,0.1158,796.1
659,0.1159,795.4
663.8,0.116,795.5
668.6,0.1161,797.1
673.4,0.1163,795.4
678.2,0.1164,795.5
683,0.1165,795.3
687.8,0.1166,795.4
692.6,0.1168,795.4
697.4,0.1169,795.5
702.3,0.117,795.5
707.1,0.1171,795.5
711.9,0.1172,795.5
716.7,0.1174,795.7
721.5,0.1175,795.4
726.3,0.1176,795.5
731.1,0.1177,795.4
735.9,0.1179,795.9
740.7,0.118,795.3
745.5,0.1181,795.5
750.4,0.1182,795.5
755.2,0.1184,795.4
760,0.1185,795.4
764.8,0.1186,795.6
769.6,0.1187,795.5
774.4,0.1189,795.6
779.2,0.119,795.4
784,0.1191,795.6
788.8,0.1192,795.6
793.6,0.1194,795.5
798.5,0.1195,795.5
803.3,0.1196,795.7
808.1,0.1197,795.4
812.9,0.1199,795.4
817.7,0.12,795.4
822.5,0.1201,795.6
827.3,0.1202,795.4
832.1,0.1204,795.7
836.9,0.1205,795.5
841.7,0.1206,795.4
846.6,0.1207,795.4
851.4,0.1209,795.6
856.2,0.121,795.4
861,0.1211,795.4
865.8,0.1212,795.4
870.6,0.1214,795.4
875.4,0.1215,798.3
880.2,0.1216,795.5
885,0.1217,795.6
889.8,0.1219,795.5
894.7,0.122,795.7
899.5,0.1221,795.3
904.3,0.1222,795.5
909.1,0.1224,795.4
913.9,0.1225,795.6
918.7,0.1226,795.5
923.5,0.1227,795.4
928.3,0.1229,795
933.1,0.123,795.5
937.9,0.1231,795.4
942.8,0.1232,795.5
947.6,0.1234,795.5
952.4,0.1235,795.4
957.2,0.1236,795.7
962,0.1237,795.6
966.8,0.1239,795.5
971.6,0.124,795.6
976.4,0.1241,795.5
981.2,0.1242,795.3
986,0.1244,795.4
990.9,0.1245,795.4
995.7,0.1246,795.5
1000,0.1247,795.4
1005,0.1249,795.4
1010,0.125,795.5
1015,0.1251,795.5
1020,0.1253,795.5
1025,0.1254,795.5
1029,0.1255,795.4
1034,0.1256,795.6
1039,0.1258,795.5
1044,0.1259,795.6
1049,0.126,796
1053,0.1261,795.6
1058,0.1263,795.4
1063,0.1264,795.4
1068,0.1265,795.4
1073,0.1266,795.4
1077,0.1268,795.5
1082,0.1269,795.5
1087,0.127,795.4
1092,0.1271,795.4
1097,0.1273,795.4
1101,0.1274,795.5
1106,0.1275,795.3
1111,0.1276,795.5
1116,0.1278,795.4
1121,0.1279,795.5
1126,0.128,795.3
1130,0.1281,795.5
1135,0.1283,795.5
1140,0.1284,795.5
1145,0.1285,795.5
1150,0.1286,795.5
1154,0.1288,795.4
1159,0.1289,795.6
1164,0.129,795.4
1169,0.1291,795
1174,0.1293,795.4
1178,0.1294,795.6
1183,0.1295,795.5
1188,0.1296,795.4
1193,0.1298,795.4
1198,0.1299,795.5
1202,0.13,795.2
1207,0.1301,796.2
1212,0.1303,795.4
1217,0.1304,795.4
1222,0.1305,796.6
1227,0.1306,795.4
1231,0.1308,795.5
1236,0.1309,795.5
1241,0.131,795.5
1246,0.1311,795.4
1251,0.1313,795.6
1255,0.1314,795.4
1260,0.1315,795.5
1265,0.1316,795.5
1270,0.1318,795.4
1275,0.1319,795.5
1279,0.132,795.5
1284,0.1321,795.4
1289,0.1323,795.4
1294,0.1324,795.4
1299,0.1325,795.3
1304,0.1326,795.4
1308,0.1328,795.5
1313,0.1329,795.4
1318,0.133,795.3
1323,0.1331,795.7
1328,0.1333,796.3
1332,0.1334,795.5
1337,0.1335,795.3
1342,0.1336,795.5
1347,0.1338,795.4
1352,0.1339,795.5
1356,0.134,795.5
1361,0.1341,795.3
1366,0.1343,795.5
1371,0.1344,795.4
1376,0.1345,796
1380,0.1346,795.5
1385,0.1348,795.4
1390,0.1349,795.4
1395,0.135,795.5
1400,0.1351,795.5
1405,0.1353,795.5
1409,0.1354,795.5
1414,0.1355,795.5
1419,0.1356,795.4
1424,0.1358,795.6
1429,0.1359,795.4
1433,0.136,795.5
1438,0.1361,795.4
1443,0.1363,795.4
1448,0.1364,795.7
1453,0.1365,795.4
1457,0.1366,795.4
1462,0.1368,795.5
1467,0.1369,795.6
1472,0.137,795.5
1477,0.1371,795.5
1481,0.1373,795.5
1486,0.1374,795.4
1491,0.1375,795.5
1496,0.1376,795.4
1501,0.1378,795.4
1506,0.1379,795.5
1510,0.138,795.5
1515,0.1381,795.2
1520,0.1383,795.4
1525,0.1384,795.4
1530,0.1385,795
1534,0.1386,795.3
1539,0.1388,795.5
1544,0.1389,795.5
1549,0.139,795.5
1554,0.1391,795.5
1558,0.1393,795.4
1563,0.1394,795.5
1568,0.1395,795.4
1573,0.1396,795.4
1578,0.1398,795.4
1582,0.1399,795.4
1587,0.14,795.4
1592,0.1401,795.4
1597,0.1403,795.4
1602,0.1404,795.5
1607,0.1405,795.5
1611,0.1406,795.4
1616,0.1407,795.5
1621,0.1409,795.5
1626,0.141,795.5
1631,0.1411,795.5
1635,0.1412,795.6
1640,0.1414,795.4
1645,0.1415,795.5
1650,0.1416,795.4
1655,0.1417,795.4
1659,0.1419,795.6
1664,0.142,795.6
1669,0.1421,795.6
1674,0.1422,795.3
1679,0.1424,795.4
1683,0.1425,795.4
1688,0.1426,795.5
1693,0.1427,795.5
1698,0.1429,795.4
1703,0.143,795.6
1708,0.1431,795.5
1712,0.1432,795.5
1717,0.1434,795
1722,0.1435,795.5
1727,0.1436,795.4
1732,0.1437,795
1736,0.1439,795.5
1741,0.144,795.5
1746,0.1441,795.4
1751,0.1442,795.3
1756,0.1444,795.5
1760,0.1445,795.5
1765,0.1446,795.4
1770,0.1447,795.5
1775,0.1449,795.6
1780,0.145,795.5
1785,0.1451,795.4
1789,0.1452,795.4
1794,0.1454,795.5
1799,0.1455,795.5
1804,0.1456,795.6
1809,0.1457,795.9
1813,0.1459,795.6
1818,0.146,795.4
1823,0.1461,795.4
1828,0.1462,795.5
1833,0.1464,795
1837,0.1465,795.5
1842,0.1466,795.4
1847,0.1467,795.5
1852,0.1469,795.2
