elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.02251
1,0.01075,799.5,0.02251
2,0.0115,799.5,0.02251
3,0.01225,799.6,0.02251
4,0.013,799.5,0.02251
5,0.01375,799.4,0.02251
6,0.0145,799.4,0.02251
7,0.01525,799.4,0.03298
8,0.016,799.5,0.02251
9,0.01675,799.3,0.02251
10,0.0175,799.7,0.02251
11,0.01825,799.5,0.02251
12,0.019,799.5,0.03298
13,0.01975,799.5,0.02251
14,0.0205,799.4,0.02251
15,0.02125,799.5,0.02251
16,0.022,799.5,0.02251
17,0.02275,799.3,0.02251
18,0.0235,799.4,0.02251
19,0.02425,799.6,0.02251
20,0.025,799.6,0.03298
21,0.02575,799.4,0.02251
22,0.0265,799.5,0.02251
23,0.02725,799.4,0.03298
24,0.028,799.5,0.02251
25,0.02875,799.4,0.02251
26,0.0295,799.7,0.03298
27,0.03025,799.5,0.02251
28,0.031,799.4,0.02251
29,0.03175,799.6,0.02251
30,0.0325,799.4,0.03298
31,0.03325,799.5,0.02251
32,0.034,799.5,0.02251
33,0.03475,799.6,0.02251
34,0.0355,799.5,0.03298
35,0.03625,799.6,0.02251
36,0.037,799.4,0.02251
37,0.03775,799.7,0.03298
38,0.0385,799.5,0.02251
39,0.03925,799.6,0.02251
40,0.04,799.5,0.03298
41,0.04075,799.5,0.02251
42,0.0415,799.5,0.02251
43,0.04225,799.4,0.02251
44,0.043,799.4,0.02251
45,0.04375,799.6,0.02251
46,0.0445,799.5,0.02251
47,0.04525,799.5,0.02251
48,0.046,799.5,0.02251
49,0.04675,799.4,0.02251
50,0.0475,799.5,0.02251
51,0.04825,799.4,0.02251
52,0.049,799.4,0.02251
53,0.04975,799.4,0.03298
54,0.0505,799.5,0.02251
55,0.05125,799.5,0.02251
56,0.052,799.4,0.03298
57,0.05275,799.5,0.02251
58,0.0535,799.8,0.02251
59,0.05425,799.5,0.02251
60,0.055,799.6,0.02251
61,0.05575,799.6,0.03298
62,0.0565,799.5,0.02251
63,0.05725,799.5,0.02251
64,0.058,799.4,0.03298
65,0.05875,799.5,0.03298
66,0.0595,799.5,0.02251
67,0.06025,799.4,0.02251
68,0.061,799.5,0.02251
69,0.06175,799.4,0.02251
70,0.0625,799.6,0.02251
71,0.06325,799.4,0.02251
72,0.064,799.6,0.02251
73,0.06475,799.4,0.03298
74,0.0655,799.5,0.03298
75,0.06625,799.5,0.03298
76,0.067,799.5,0.02251
77,0.06775,799.5,0.02251
78,0.0685,799.4,0.03298
79,0.06925,799.4,0.02251
80,0.07,799.4,0.02251
81,0.07075,799.6,0.02251
82,0.0715,799.5,0.02251
83,0.07225,799.5,0.02251
84,0.073,799.6,0.02251
85,0.07375,799.5,0.03298
86,0.0745,799.7,0.02251
87,0.07525,799.7,0.02251
88,0.076,799.6,0.02251
89,0.07675,799.2,0.02251
90,0.0775,799.5,0.02251
91,0.07825,799.4,0.02251
92,0.079,799.5,0.02251
93,0.07975,799.4,0.03298
94,0.0805,799.5,0.02251
95,0.08125,799.5,0.03298
96,0.082,799.5,0.01204
97,0.08275,799.5,0.02251
98,0.0835,799.5,0.03298
99,0.08425,799.5,0.03298
100,0.085,799.6,0.02251
101,0.08575,799.5,0.02251
102,0.0865,799.6,0.02251
103,0.08725,799.6,0.02251
104,0.088,799.5,0.03298
105,0.08875,799.7,0.03298
106,0.0895,799.4,0.02251
107,0.09025,799.4,0.02251
108,0.091,799.4,0.03298
109,0.09175,799.4,0.02251
110,0.0925,799.6,0.02251
111,0.09325,799.4,0.03298
112,0.094,799.4,0.02251
113,0.09475,799.4,0.03298
114,0.0955,799.7,0.02251
115,0.09625,799.4,0.03298
116,0.097,799.5,0.02251
117,0.09775,799.6,0.02251
118,0.0985,799.5,0.02251
119,0.09925,799.5,0.03298
120,0.1,800,0.03298
121,0.1008,799.6,0.02251
122,0.1015,799.4,0.03298
123,0.1022,799.7,0.03298
124,0.103,799.1,0.02251
125,0.1037,799.4,0.03298
126,0.1045,799.5,0.02251
127,0.1052,799.5,0.02251
128,0.106,799.5,0.03298
129,0.1067,799.6,0.03298
130,0.1075,799.4,0.02251
131,0.1082,799.7,0.01204
132,0.109,799.5,0.01204
133,0.1098,799.5,0.03298
134,0.1105,799,0.02251
135,0.1113,799.5,0.02251
136,0.112,799.5,0.03298
137,0.1128,799.5,0.03298
138,0.1135,799.5,0.03298
139,0.1143,799.4,0.02251
140,0.115,799.4,0.03298
141,0.1158,799.4,0.02251
142,0.1165,799.4,0.02251
143,0.1172,799.5,0.02251
144,0.118,799.5,0.02251
145,0.1187,799.4,0.01204
146,0.1195,799.4,0.01204
147,0.1202,799.5,0.02251
148,0.121,799.4,0.03298
149,0.1217,799.5,0.02251
150,0.1225,799.4,0.02251
151,0.1232,799.5,0.02251
152,0.124,799.4,0.03298
153,0.1247,800.5,0.03298
154,0.1255,799.5,0.03298
155,0.1263,799.6,0.02251
156,0.127,800,0.02251
157,0.1278,799.5,0.03298
158,0.1285,799.6,0.03298
159,0.1293,799.4,0.03298
160,0.13,799.6,0.02251
161,0.1308,799,0.02251
162,0.1315,800,0.02251
163,0.1323,799.6,0.03298
164,0.133,799.5,0.02251
165,0.1338,799.3,0.03298
166,0.1345,799.5,0.03298
167,0.1353,799.3,0.02251
168,0.136,799.5,0.02251
169,0.1368,799.4,0.02251
170,0.1375,799.4,0.02251
171,0.1383,799.5,0.02251
172,0.139,799.4,0.02251
173,0.1398,799.5,0.02251
174,0.1405,799.6,0.02251
175,0.1412,799.3,0.03298
176,0.142,799.5,0.01204
177,0.1427,799.5,0.02251
178,0.1435,799.6,0.02251
179,0.1442,799.5,0.01204
180,0.145,799.5,0.01204
181,0.1457,799.4,0.03298
182,0.1465,799.4,0.03298
183,0.1472,799.5,0.02251
184,0.148,799.4,0.02251
185,0.1487,799.5,0.02251
186,0.1495,799.5,0.03298
187,0.1502,799.5,0.02251
188,0.151,799.4,0.02251
189,0.1517,799.4,0.02251
190,0.1525,799.4,0.02251
191,0.1532,799.4,0.02251
192,0.154,799.4,0.02251
193,0.1547,799.4,0.02251
194,0.1555,799.5,0.02251
195,0.1562,799.5,0.02251
196,0.157,799.5,0.03298
197,0.1578,799.6,0.01204
198,0.1585,799.5,0.02251
199,0.1593,799.9,0.02251
200,0.16,799.6,0.02251
201,0.1608,799.4,0.03298
202,0.1615,799.6,0.02251
203,0.1623,799.5,0.02251
204,0.163,799.6,0.02251
205,0.1638,799.6,0.02251
206,0.1645,799.5,0.03298
207,0.1653,799.3,0.02251
208,0.166,799.5,0.02251
209,0.1668,799.7,0.02251
210,0.1675,799.6,0.03298
211,0.1683,799.6,0.02251
212,0.169,799.4,0.02251
213,0.1698,799.5,0.02251
214,0.1705,799.5,0.02251
215,0.1713,799.6,0.02251
216,0.172,799.4,0.02251
217,0.1727,799.4,0.02251
218,0.1735,799,0.02251
219,0.1742,799.4,0.03298
220,0.175,799.5,0.02251
221,0.1757,799.4,0.02251
222,0.1765,799.5,0.02251
223,0.1772,799.5,0.02251
224,0.178,799.5,0.02251
225,0.1787,799.4,0.02251
226,0.1795,799.5,0.01204
227,0.1802,799.4,0.02251
228,0.181,799.5,0.02251
229,0.1817,799.6,0.02251
230,0.1825,799.5,0.02251
231,0.1832,799.7,0.02251
232,0.184,799,0.02251
233,0.1847,799.5,0.02251
234,0.1855,799.1,0.02251
235,0.1862,809.2,0.03298
236,0.187,799.4,0.02251
237,0.1878,799.4,0.01204
238,0.1885,799.5,0.02251
239,0.1893,799.4,0.02251
240,0.19,799.5,0.02251
241,0.1908,799.4,0.02251
242,0.1915,800.5,0.02251
243,0.1923,799.6,0.02251
244,0.193,799.3,0.01204
245,0.1938,799.6,0.01204
246,0.1945,799.5,0.01204
247,0.1953,799.6,0.02251
248,0.196,799.6,0.02251
249,0.1968,799.6,0.02251
250,0.1975,799.6,0.02251
251,0.1983,801,0.02251
252,0.199,799.6,0.02251
253,0.1998,799.5,0.02251
254,0.2005,799.4,0.02251
255,0.2013,799.6,0.02251
256,0.202,799,0.02251
257,0.2028,799.4,0.02251
258,0.2035,799.5,0.02251
259,0.2042,799.4,0.02251
260,0.205,799.4,0.02251
261,0.2057,799.6,0.02251
262,0.2065,799.5,0.02251
263,0.2072,799.5,0.02251
264,0.208,799.4,0.02251
265,0.2087,799.5,0.02251
266,0.2095,799.5,0.02251
267,0.2102,801,0.03298
268,0.211,799.3,0.02251
269,0.2117,799.6,0.03298
270,0.2125,799,0.03298
271,0.2132,799.5,0.01204
272,0.214,799,0.02251
273,0.2147,799.5,0.02251
274,0.2155,799.5,0.03298
275,0.2162,799.5,0.02251
276,0.217,799.5,0.02251
277,0.2177,799.4,0.03298
278,0.2185,799.5,0.03298
279,0.2193,800.2,0.03298
280,0.22,799.4,0.02251
281,0.2208,799.4,0.02251
282,0.2215,799.3,0.02251
283,0.2223,799.5,0.01204
284,0.223,799.4,0.02251
285,0.2238,799.4,0.02251
286,0.2245,799.7,0.03298
287,0.2253,799,0.02251
288,0.226,799.5,0.02251
289,0.2268,799.4,0.02251
290,0.2275,799.4,0.001575
291,0.2283,799.4,0.02251
292,0.229,799.5,0.02251
