elapsed_s,power_mA,temperature_C
0,0,795.5
3.842,0,795.4
7.684,0,795.5
11.53,0,795.5
15.37,0,795.4
19.21,0,795.6
23.05,0.02,795.6
26.89,0.04,795.5
30.74,0.06,795.6
34.58,0.08,795.6
38.42,0.1,795.3
42.26,0.1001,795.5
46.1,0.1003,795.3
49.95,0.1004,795.5
53.79,0.1005,795.7
57.63,0.1006,795.4
61.47,0.1008,795.6
65.31,0.1009,795.4
69.16,0.101,795.5
73,0.1011,795.6
76.84,0.1013,795.4
80.68,0.1014,795.5
84.52,0.1015,795.6
88.37,0.1016,795.4
92.21,0.1017,795.6
96.05,0.1019,795.5
99.89,0.102,795.5
103.7,0.1021,795.3
107.6,0.1022,795.4
111.4,0.1024,795.4
115.3,0.1025,795.4
119.1,0.1026,795.7
122.9,0.1027,795.5
126.8,0.1029,796.3
130.6,0.103,795
134.5,0.1031,795
138.3,0.1032,795.4
142.2,0.1034,795.6
146,0.1035,795.3
149.8,0.1036,795.4
153.7,0.1037,795.5
157.5,0.1039,795.3
161.4,0.104,795.6
165.2,0.1041,795.5
169,0.1042,795.6
172.9,0.1044,795.4
176.7,0.1045,795.5
180.6,0.1046,795.4
184.4,0.1047,795.4
188.3,0.1049,795.6
192.1,0.105,795.4
195.9,0.1051,795.5
199.8,0.1052,795.6
203.6,0.1054,795.4
207.5,0.1055,795.5
211.3,0.1056,795.4
215.2,0.1057,795.4
219,0.1059,795.4
222.8,0.106,795.4
226.7,0.1061,795.5
230.5,0.1062,795.4
234.4,0.1064,795.4
238.2,0.1065,795.4
242,0.1066,795.5
245.9,0.1067,795.3
249.7,0.1069,795.6
253.6,0.107,795.5
257.4,0.1071,795.7
261.3,0.1072,795.3
265.1,0.1074,795.5
268.9,0.1075,795.6
272.8,0.1076,795.4
276.6,0.1077,795.5
280.5,0.1079,795.4
284.3,0.108,795.4
288.2,0.1081,795.5
292,0.1082,795.4
295.8,0.1084,795.6
299.7,0.1085,795.5
303.5,0.1086,795.6
307.4,0.1087,795.6
311.2,0.1089,795.4
315,0.109,795.5
318.9,0.1091,795.3
322.7,0.1092,795.5
326.6,0.1094,795.4
330.4,0.1095,795.3
334.3,0.1096,795.5
338.1,0.1098,795.4
341.9,0.1099,795
345.8,0.11,795
349.6,0.1101,795.4
353.5,0.1103,795.5
357.3,0.1104,795.3
361.1,0.1105,795.5
365,0.1106,795.4
368.8,0.1108,795.5
372.7,0.1109,795.5
376.5,0.111,795.5
380.4,0.1111,795.5
384.2,0.1113,795.4
388,0.1114,795.4
391.9,0.1115,795.5
395.7,0.1116,795.6
399.6,0.1118,795.5
403.4,0.1119,795.6
407.3,0.112,795.6
411.1,0.1121,795.4
414.9,0.1123,795.5
418.8,0.1124,795.5
422.6,0.1125,795.5
426.5,0.1126,795.3
430.3,0.1128,795.6
434.1,0.1129,795.7
438,0.113,795.6
441.8,0.1131,795.5
445.7,0.1133,795.5
449.5,0.1134,795
453.4,0.1135,795.5
457.2,0.1136,797.1
461,0.1138,795.5
464.9,0.1139,795.5
468.7,0.114,795.4
472.6,0.1141,795.4
476.4,0.1143,795.5
