elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.4,21.38
1,0.01,799.5,21.38
2,0.01,799.4,21.38
3,0.01,799.6,21.38
4,0.01,799.5,21.38
5,0.01,799.6,21.38
6,0.028,799.7,21.38
7,0.046,799.4,21.38
8,0.064,799.4,21.38
9,0.082,799.4,21.38
10,0.1,799.5,21.38
11,0.1012,799.7,21.38
12,0.1024,799.4,21.38
13,0.1037,799.4,21.38
14,0.1049,799.4,21.38
15,0.1061,799,21.38
16,0.1073,799.6,21.38
17,0.1086,799.5,21.38
18,0.1098,799.5,21.38
19,0.111,799.5,21.38
20,0.1122,799.5,21.38
21,0.1134,799.4,21.38
22,0.1147,799.3,21.38
23,0.1159,799.4,21.38
24,0.1171,799.5,21.38
25,0.1183,799.7,21.38
26,0.1196,799.3,21.38
27,0.1208,799.6,21.38
28,0.122,799.5,21.38
29,0.1232,799,21.38
30,0.1244,799.6,21.38
31,0.1257,799.6,21.38
32,0.1269,799.7,21.38
33,0.1281,799.5,21.38
34,0.1293,800.1,21.38
35,0.1306,799.5,21.38
36,0.1318,799.6,21.38
37,0.133,799.4,21.38
38,0.1342,799.4,21.38
39,0.1354,799.4,21.38
40,0.1367,799.4,21.38
41,0.1379,799.2,21.38
42,0.1391,799.7,21.38
43,0.1403,799.4,21.38
44,0.1416,799,21.38
45,0.1428,799.3,21.38
46,0.144,799.4,21.38
47,0.1452,799.3,21.38
48,0.1464,799.4,21.38
49,0.1477,799.5,21.38
50,0.1489,799.4,21.38
51,0.1501,799,21.38
52,0.1513,799.6,21.38
53,0.1526,799.5,21.38
54,0.1538,799.6,21.38
55,0.155,799.6,21.38
56,0.1562,799.6,21.38
57,0.1574,799.6,21.38
58,0.1587,799.5,21.38
59,0.1599,799.5,21.38
60,0.1611,799.5,21.38
61,0.1623,799.4,21.38
62,0.1636,799.7,21.38
63,0.1648,801.1,21.38
64,0.166,799.5,21.38
65,0.1672,799,21.38
66,0.1684,799.6,21.38
67,0.1697,799.4,21.38
68,0.1709,799.5,21.38
69,0.1721,799.5,21.38
70,0.1733,799.3,21.38
71,0.1746,799.4,21.38
72,0.1758,799,21.38
73,0.177,799.5,21.38
74,0.1782,799.7,21.38
75,0.1794,799.4,21.38
76,0.1807,799.5,21.38
77,0.1819,799.5,21.38
78,0.1831,799.6,21.38
79,0.1843,799.5,21.38
80,0.1856,799.8,21.38
81,0.1868,799.4,21.38
82,0.188,799.4,21.38
83,0.1892,799.5,21.38
84,0.1904,799.6,21.38
85,0.1917,799.5,21.38
86,0.1929,799.5,21.38
87,0.1941,799.5,21.38
88,0.1953,799.6,21.38
89,0.1966,799.5,21.38
90,0.1978,799.6,21.38
91,0.199,799.4,21.38
92,0.2002,799.2,21.38
93,0.2014,799.5,21.38
94,0.2027,799.6,21.38
95,0.2039,799.6,21.38
96,0.2051,799.1,21.38
97,0.2063,799,21.38
98,0.2076,799,21.38
99,0.2088,799.6,21.38
100,0.21,799.4,21.38
101,0.2112,799.5,21.38
102,0.2124,799,21.38
103,0.2137,799.6,21.38
104,0.2149,799,21.38
105,0.2161,802,21.38
106,0.2173,799.5,21.38
107,0.2186,799.9,21.38
108,0.2198,799.5,21.38
109,0.221,799.6,21.38
110,0.2222,799.6,21.38
111,0.2234,799.6,21.38
112,0.2247,799.6,21.38
113,0.2259,799.7,21.38
114,0.2271,799.5,21.38
115,0.2283,799.5,21.38
116,0.2296,800.8,21.38
117,0.2308,802.5,21.38
118,0.232,799.3,21.38
119,0.2332,799.5,21.38
120,0.2344,801,21.38
121,0.2357,799,21.38
122,0.2369,799.6,21.38
123,0.2381,799,21.38
124,0.2393,799.6,21.38
125,0.2406,799,21.38
126,0.2418,799.8,21.38
127,0.243,799.4,21.38
128,0.2442,799.6,21.38
129,0.2454,799.6,21.38
130,0.2467,799.5,21.38
131,0.2479,799.6,21.38
132,0.2491,799.4,21.38
133,0.2503,799.4,21.38
134,0.2516,800.2,21.38
135,0.2528,800,21.38
136,0.254,800,21.38
137,0.2552,799.8,21.38
138,0.2564,799.6,21.38
139,0.2577,799.8,21.38
140,0.2589,799.5,21.38
141,0.2601,799.6,21.38
142,0.2613,799.4,21.38
143,0.2626,799.5,21.38
144,0.2638,799.5,21.38
145,0.265,799.5,21.38
146,0.2662,799.3,21.38
147,0.2674,799,21.38
148,0.2687,799.8,21.38
149,0.2699,799,21.38
150,0.2711,799.4,21.38
151,0.2723,799.5,21.38
152,0.2736,799.4,21.38
153,0.2748,799,21.38
154,0.276,799.6,21.38
155,0.2772,799.5,21.38
156,0.2784,799.3,21.38
157,0.2797,799.5,21.38
158,0.2809,799.4,21.38
159,0.2821,799.9,21.38
160,0.2833,799.4,21.38
161,0.2846,799.4,21.38
162,0.2858,799.1,21.38
163,0.287,799.4,21.38
164,0.2882,799.6,21.38
165,0.2894,799.6,21.38
166,0.2907,799.7,21.38
167,0.2919,799.7,21.38
168,0.2931,799.8,21.38
169,0.2943,799.4,21.38
170,0.2956,799.6,21.38
171,0.2968,799.6,21.38
172,0.298,799.4,21.38
173,0.2992,799.5,21.38
174,0.3004,799.6,21.38
175,0.3017,799.5,21.38
176,0.3029,799.7,21.38
177,0.3041,800.4,21.38
178,0.3053,799.4,21.38
179,0.3066,799.4,21.38
180,0.3078,799.5,21.38
