elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,21.38
1,0.01,799.5,21.38
2,0.01,799.4,21.38
3,0.01,799.3,21.38
4,0.01,799.5,21.38
5,0.01,799.6,21.38
6,0.028,799.4,21.38
7,0.046,799.5,21.38
8,0.064,799.5,21.38
9,0.082,799.4,21.38
10,0.1,799.5,21.38
11,0.1012,799.5,21.38
12,0.1024,799.5,21.38
13,0.1037,799.4,21.38
14,0.1049,799.4,21.38
15,0.1061,799.4,21.38
16,0.1073,799.6,21.38
17,0.1086,799.5,4.817
18,0.1098,799.4,2.817
19,0.111,799.4,1.917
20,0.1122,799.5,9.632
21,0.1134,799.6,21.38
22,0.1147,799.4,20.51
23,0.1159,799.4,19.08
24,0.1171,799.6,19.28
25,0.1183,799.4,19.67
26,0.1196,799.4,19.75
27,0.1208,799.4,19.82
28,0.122,799.5,19.88
29,0.1232,799.6,19.94
30,0.1244,799.4,19.93
31,0.1257,799.5,19.95
32,0.1269,799.4,19.96
33,0.1281,799.5,19.96
34,0.1293,799.5,19.97
35,0.1306,799.4,19.97
36,0.1318,799.4,19.99
37,0.133,799.4,20
38,0.1342,799.5,19.99
39,0.1354,799.5,20.02
40,0.1367,799.4,19.97
41,0.1379,799.5,20.02
42,0.1391,799.5,20.01
43,0.1403,799.5,20.01
44,0.1416,799.4,20.03
45,0.1428,799.6,20
46,0.144,799.4,20.01
47,0.1452,799.5,20
48,0.1464,799.5,20.02
49,0.1477,799.5,20
50,0.1489,799.7,20.04
51,0.1501,799.6,20.01
52,0.1513,799.4,20.01
53,0.1526,799.2,20.01
54,0.1538,799.5,20.04
55,0.155,799.4,20
56,0.1562,799.4,20.02
57,0.1574,799.4,20.03
58,0.1587,799.3,20
59,0.1599,799.5,20.02
60,0.1611,799.4,20.04
61,0.1623,799.5,20.01
62,0.1636,800.6,20.02
63,0.1648,799.5,20.04
64,0.166,799,20.01
65,0.1672,799.6,20.01
66,0.1684,799.5,20.04
67,0.1697,799.2,20.04
68,0.1709,799,20.01
69,0.1721,801.2,20.02
70,0.1733,799.5,20.04
71,0.1746,799.6,20.03
72,0.1758,799.3,20.01
73,0.177,800,20.04
74,0.1782,799.4,20.04
75,0.1794,799.3,20.02
76,0.1807,799.5,20.03
77,0.1819,799.5,20.01
78,0.1831,799.4,20.04
79,0.1843,799,20.01
80,0.1856,799.9,20.03
81,0.1868,799.4,20.03
82,0.188,799.1,20.04
83,0.1892,799.6,20.03
84,0.1904,799.7,20.02
85,0.1917,799.5,20.02
86,0.1929,799,20.06
87,0.1941,801.7,20.03
88,0.1953,799.5,20.02
89,0.1966,801.1,20.04
90,0.1978,799.5,20.03
91,0.199,799.5,20.04
92,0.2002,801.4,20.02
93,0.2014,800.7,20.06
94,0.2027,799.8,20.03
95,0.2039,799,20.04
96,0.2051,799.4,20.04
97,0.2063,799,20.02
98,0.2076,799.3,20.05
99,0.2088,799.3,20.03
100,0.21,799.8,20.06
101,0.2112,799.5,20.04
102,0.2124,799.4,20
103,0.2137,799.6,20.04
104,0.2149,799.4,20.03
105,0.2161,799.4,20.05
106,0.2173,799.8,20.03
107,0.2186,799.4,20.03
108,0.2198,799.6,20.04
109,0.221,799,20.03
110,0.2222,799.5,20.04
111,0.2234,800.8,20.04
112,0.2247,799.7,20.02
113,0.2259,799.5,20.05
114,0.2271,799.4,20.04
115,0.2283,799.2,20.03
116,0.2296,799.5,20.06
117,0.2308,799.6,20.03
118,0.232,799.4,20.03
119,0.2332,799.6,20.04
120,0.2344,799.4,20.03
121,0.2357,799.6,20.04
122,0.2369,799.4,20.04
123,0.2381,799.8,20.02
124,0.2393,799.3,20.05
125,0.2406,799.4,20.04
126,0.2418,799.4,20.03
127,0.243,800.2,20.05
128,0.2442,799.4,20.03
129,0.2454,799.4,20.02
130,0.2467,799.8,20.06
131,0.2479,799,20.04
132,0.2491,799.8,20.02
133,0.2503,799.4,20.04
134,0.2516,799.4,20.03
135,0.2528,799.4,20.03
136,0.254,799.4,20.05
137,0.2552,799.5,20.04
138,0.2564,799.4,20.04
139,0.2577,799.4,20.03
140,0.2589,799.6,20.05
141,0.2601,799.5,20.04
142,0.2613,799.4,20.01
143,0.2626,800.1,20.04
144,0.2638,799,20.04
145,0.265,799.2,20.03
146,0.2662,799.2,20.02
147,0.2674,799.5,20.06
148,0.2687,799.5,20.04
149,0.2699,799.6,20.02
150,0.2711,799.5,20.06
151,0.2723,799.3,20.04
152,0.2736,799.7,20.02
153,0.2748,799.6,20.04
154,0.276,799.5,20.06
155,0.2772,799.7,20.04
156,0.2784,799.6,20.03
157,0.2797,799.2,20.05
158,0.2809,799.6,20.04
159,0.2821,799.5,20.04
160,0.2833,799.7,20.03
161,0.2846,800.1,20.05
162,0.2858,799.5,20.04
163,0.287,799,20.02
164,0.2882,799,20.03
165,0.2894,799,20.04
166,0.2907,799,20.06
167,0.2919,799.5,20.03
168,0.2931,799,20.04
169,0.2943,800.1,20.06
170,0.2956,800.4,20.04
171,0.2968,799.4,20.03
172,0.298,799,20.03
173,0.2992,799.5,20.06
174,0.3004,799.4,20.06
175,0.3017,799,20.04
176,0.3029,799.7,20.03
177,0.3041,799.5,20.06
178,0.3053,799.4,20.04
179,0.3066,799.4,20.03
180,0.3078,799.1,20.03
181,0.309,799.5,20.04
182,0.3102,799.4,20.05
183,0.3114,799.5,20.03
184,0.3127,799.5,20.03
185,0.3139,800.1,20.06
186,0.3151,799.6,20.04
187,0.3163,799.5,20.04
188,0.3176,799.5,20.03
189,0.3188,799.5,20.05
190,0.32,799.6,20.05
191,0.3212,799.5,20.05
192,0.3224,799.6,20.03
193,0.3237,799,20.04
194,0.3249,799.4,20.04
195,0.3261,799.5,20.05
196,0.3273,799.3,20.04
197,0.3286,799.5,20.04
198,0.3298,800.4,20.06
199,0.331,799.5,20.05
200,0.3322,799.4,20.05
201,0.3334,799.4,20.03
202,0.3347,800.1,20.03
203,0.3359,799.1,20.05
204,0.3371,799.5,20.04
205,0.3383,799,20.04
206,0.3396,799,20.03
207,0.3408,799.5,20.03
208,0.342,799.7,20.05
209,0.3432,799.5,20.05
210,0.3444,799.5,20.04
211,0.3457,799.4,20.04
212,0.3469,799,20.03
213,0.3481,799.4,20.07
214,0.3493,800.2,20.05
215,0.3506,799.5,20.05
216,0.3518,799.5,20.04
217,0.353,799.4,20.03
218,0.3542,799.9,20.06
219,0.3554,799.5,20.05
220,0.3567,799.5,20.05
221,0.3579,799.6,20.04
222,0.3591,799.5,20.02
223,0.3603,799.6,20.06
224,0.3616,800.7,20.04
225,0.3628,799.6,20.04
226,0.364,799.5,20.04
227,0.3652,799.6,20.04
228,0.3664,799.6,20.03
229,0.3677,799.3,20.07
230,0.3689,799.4,20.03
231,0.3701,799,20.06
232,0.3713,799,20.04
233,0.3726,799,20.03
234,0.3738,799.4,20.06
235,0.375,799.5,20.05
236,0.3762,799,20.06
237,0.3774,799.5,20.04
238,0.3787,800.4,20.04
239,0.3799,799.3,20.02
240,0.3811,799.3,20.04
241,0.3823,799.4,20.06
242,0.3836,799.4,20.04
243,0.3848,799.6,20.04
244,0.386,799,20.04
245,0.3872,799.5,20.04
246,0.3884,799.7,20.05
247,0.3897,799.5,20.03
248,0.3909,799.5,20.06
249,0.3921,799,20.05
250,0.3933,799,20.04
251,0.3946,799.4,20.01
252,0.3958,799,20.06
253,0.397,799,20.07
254,0.3982,799,20.04
255,0.3994,799,20.05
256,0.4007,799,20.04
257,0.4019,799.5,20.02
258,0.4031,799.5,20.06
259,0.4043,799.3,20.04
260,0.4056,799,20.06
261,0.4068,799.5,20.06
262,0.408,799.4,20.05
263,0.4092,799.5,20.03
264,0.4104,799.5,20.05
265,0.4117,800.9,20.04
266,0.4129,799,20.05
267,0.4141,799.9,20.06
268,0.4153,800.1,20.06
269,0.4166,799.7,20.04
270,0.4178,799.6,20.02
271,0.419,801.7,20.06
272,0.4202,799,20.04
273,0.4214,799.4,20.04
274,0.4227,799.5,20.04
275,0.4239,799.5,20.06
276,0.4251,801.7,20.04
277,0.4263,799.3,20.01
278,0.4276,799.7,20.06
279,0.4288,799.3,20.04
280,0.43,799,20.05
281,0.4312,799.5,20.04
282,0.4324,801.3,20.04
283,0.4337,799.3,20.04
284,0.4349,799.2,20.05
285,0.4361,799.4,20.04
286,0.4373,801,20.05
287,0.4386,799.4,20.05
288,0.4398,799.3,20.04
289,0.441,799.5,20.06
290,0.4422,802,20.04
291,0.4434,799.6,20.03
292,0.4447,799,20.07
293,0.4459,799.7,20.05
294,0.4471,799.6,20.04
295,0.4483,799,20.04
296,0.4496,799.8,20.04
297,0.4508,799.4,20.04
298,0.452,799,20.03
299,0.4532,799.4,20.06
300,0.4544,799.3,20.05
301,0.4557,799.5,20.04
302,0.4569,799.6,20.02
303,0.4581,799.5,20.06
304,0.4593,799,20.04
305,0.4606,799.3,20.03
306,0.4618,800,20.06
307,0.463,799.6,20.06
308,0.4642,799.7,20.03
309,0.4654,800.7,20.06
310,0.4667,799.3,20.06
311,0.4679,802.4,20.04
312,0.4691,799.4,20.05
313,0.4703,799.6,20.04
314,0.4716,799.4,20.04
315,0.4728,799.8,20.05
316,0.474,799.3,20.06
317,0.4752,799,20.04
318,0.4764,799.9,20.05
319,0.4777,799.1,20.06
320,0.4789,799,20.04
321,0.4801,801.8,20.04
322,0.4813,802.2,20.05
323,0.4826,802.1,20.04
324,0.4838,804.6,20.05
325,0.485,806.5,20.04
326,0.4862,807.1,20.05
327,0.4874,807.1,20.04
328,0.4887,809.5,20.04
329,0.4899,810.8,20.03
330,0.4911,811,20.06
331,0.4923,813.3,20.04
332,0.4936,814.5,20.05
333,0.4948,816,20.05
334,0.496,817.1,20.05
335,0.4972,818.3,20.03
336,0.4984,815.9,20.05
337,0.4997,819,20.04
338,0.5009,820.6,20.04
339,0.5021,822.4,20.05
340,0.5033,823.7,20.05
341,0.5046,824,20.05
342,0.5058,825.6,20.04
343,0.507,826.8,20.04
344,0.5082,827.8,20.06
345,0.5094,828.8,20.04
346,0.5107,829.7,20.02
347,0.5119,832.2,20.08
348,0.5131,831.7,20.04
349,0.5143,835.1,20.06
350,0.5156,833.8,20.05
351,0.5168,834.6,20.06
352,0.518,835.7,20.04
353,0.5192,837.4,20.06
354,0.5204,837,20.04
355,0.5217,837.9,20.03
356,0.5229,839.5,20.07
357,0.5241,842.7,20.04
358,0.5253,841.2,20.05
359,0.5266,842.2,20.05
360,0.5278,843.1,20.04
361,0.529,845.7,20.07
362,0.5302,844.8,20.04
363,0.5314,846,20.05
364,0.5327,847.3,20.04
365,0.5339,846.2,20.04
366,0.5351,849.1,20.06
367,0.5363,850,20.07
368,0.5363,853.2,20.05
369,0.533,851.8,20.05
370,0.5297,854.5,20.04
371,0.5263,853.6,20.04
372,0.523,854.3,20.04
373,0.5197,854.9,20.04
374,0.5163,856,20.02
375,0.513,856.1,20.06
376,0.5097,856.5,20.04
377,0.5063,855.8,20.05
378,0.5097,858.4,20.04
379,0.5063,857.6,20.06
380,0.503,857.6,20.05
381,0.5063,858.5,20.06
382,0.503,857.6,20.04
383,0.5063,856.8,20.04
384,0.5097,857.2,20.06
385,0.513,860.9,20.04
386,0.5097,856.9,20.05
387,0.513,857.9,20.05
388,0.5163,858,20.05
389,0.5197,858.1,20.04
390,0.523,858.1,20.06
391,0.5263,858.5,20.04
392,0.5297,858.6,20.02
393,0.533,859.5,20.06
394,0.5297,860.7,20.05
395,0.5263,860.1,20.05
396,0.5297,860.8,20.05
397,0.5263,861.4,20.05
398,0.523,861.5,20.04
399,0.5263,861.6,20.04
400,0.5297,862.6,20.06
401,0.5263,863.1,20.05
402,0.523,863.1,20.04
403,0.5197,863.6,20.03
404,0.5163,864,20.06
405,0.513,864.1,20.04
406,0.5163,864.2,20.05
407,0.5197,865.7,20.05
408,0.5163,863.1,20.05
409,0.5197,867.2,20.06
410,0.5163,865.1,20.04
411,0.5197,864.6,20.05
412,0.523,864.7,20.03
413,0.5263,863.2,20.04
414,0.5297,862.9,20.04
415,0.533,865.6,20.05
416,0.5297,865.7,20.05
417,0.5263,865.5,20.04
418,0.523,867.5,20.04
419,0.5197,868.3,20.05
420,0.5163,867.2,20.05
421,0.5197,867.9,20.05
422,0.5163,867.6,20.05
423,0.5197,867.8,20.03
424,0.523,867.6,20.06
425,0.5263,868.1,20.05
426,0.5297,868.5,20.04
427,0.5263,871.2,20.04
428,0.523,868.5,20.06
429,0.5263,870.5,20.05
430,0.523,869.3,20.05
431,0.5263,869.2,20.04
432,0.5297,869.3,20.05
433,0.533,867.5,20.04
434,0.5363,871,20.04
435,0.533,869.9,20.04
436,0.5297,871.1,20.07
437,0.5263,872.2,20.05
438,0.523,870.7,20.04
439,0.5263,871.6,20.04
440,0.523,871.3,20.05
441,0.5263,871.4,20.05
442,0.5297,872.3,20.05
443,0.5263,871.9,20.05
444,0.5297,872.1,20.04
445,0.533,870.4,20.04
446,0.5363,872.4,20.04
447,0.533,872.4,20.04
448,0.5297,872.8,20.06
449,0.5263,871.8,20.04
450,0.5297,874.9,20.05
451,0.5263,874.5,20.05
452,0.523,872.1,20.04
453,0.5263,870.3,20.05
454,0.5297,872.4,20.04
455,0.5263,874.3,20.05
456,0.523,874.2,20.04
457,0.5197,874.2,20.04
458,0.5163,874.7,20.02
459,0.513,874.7,20.05
460,0.5097,872.7,20.04
461,0.513,874.3,20.05
462,0.5097,872.2,20.05
463,0.513,873.9,20.06
464,0.5097,873.1,20.06
465,0.513,873.4,20.05
466,0.5163,873.2,20.03
467,0.5197,873.5,20.04
468,0.523,872.8,20.03
