elapsed_s,power_mA,temperature_C
0,0.001,799.5
0.5,0.001,799.4
1,0.001,799.4
1.5,0.001,799.5
2,0.001,799.6
2.5,0.001,799.5
3,0.001,799.5
3.5,0.001,799.5
4,0.001,799.4
4.5,0.001,799.4
5,0.001,799.4
5.5,0.0109,799.5
6,0.0208,799.5
6.5,0.0307,799.6
7,0.0406,799.5
7.5,0.0505,799.5
8,0.0604,799.6
8.5,0.0703,799.5
9,0.0802,799.5
9.5,0.0901,799.4
10,0.1,799.5
10.5,0.1001,799.4
11,0.1003,799.4
11.5,0.1004,799.5
12,0.1006,799.3
12.5,0.1007,799.5
13,0.1009,799.6
13.5,0.101,799.5
14,0.1012,799.6
14.5,0.1013,799.5
15,0.1015,799.5
15.5,0.1016,799.6
16,0.1017,799.5
16.5,0.1019,799.5
17,0.102,799.6
17.5,0.1022,799.5
18,0.1023,799.3
18.5,0.1025,799.4
19,0.1026,799.4
19.5,0.1028,799.4
20,0.1029,799.5
20.5,0.1031,799.4
21,0.1032,799.4
21.5,0.1034,799.4
22,0.1035,799.4
22.5,0.1036,799.5
23,0.1038,799.5
23.5,0.1039,799.4
24,0.1041,799.4
24.5,0.1042,799.5
25,0.1044,799.4
25.5,0.1045,799.4
26,0.1047,799.5
26.5,0.1048,799.5
27,0.105,799.5
27.5,0.1051,799.5
28,0.1052,799.5
28.5,0.1054,799.3
29,0.1055,799.6
29.5,0.1057,799.6
30,0.1058,799.4
30.5,0.106,799.3
31,0.1061,799.6
31.5,0.1063,799.5
32,0.1064,799.4
32.5,0.1066,799.4
33,0.1067,799.1
33.5,0.1069,799.5
34,0.107,799.4
34.5,0.1071,799.5
35,0.1073,799.4
35.5,0.1074,799.5
36,0.1076,799.5
36.5,0.1077,799.5
37,0.1079,799.5
37.5,0.108,799
38,0.1082,799.5
38.5,0.1083,799.4
39,0.1085,799.6
39.5,0.1086,799.6
40,0.1087,799
40.5,0.1089,799.6
41,0.109,799.6
41.5,0.1092,799.4
42,0.1093,799.5
42.5,0.1095,799.3
43,0.1096,799.4
43.5,0.1098,799.5
44,0.1099,799.5
44.5,0.1101,799.6
45,0.1102,799.4
45.5,0.1104,799.4
46,0.1105,799.4
46.5,0.1106,799.5
47,0.1108,799.5
47.5,0.1109,799.4
48,0.1111,799.3
48.5,0.1112,799.5
49,0.1114,799.5
49.5,0.1115,799.5
50,0.1117,799.4
50.5,0.1118,799.4
51,0.112,799.6
51.5,0.1121,799.5
52,0.1123,799.5
52.5,0.1124,799.5
53,0.1125,799.4
53.5,0.1127,799.5
54,0.1128,799.4
54.5,0.113,799.5
55,0.1131,799.4
55.5,0.1133,799.4
56,0.1134,799.6
56.5,0.1136,799.4
57,0.1137,799.5
57.5,0.1139,799.4
58,0.114,799.5
58.5,0.1141,799.6
59,0.1143,799.4
59.5,0.1144,799.6
60,0.1146,799.4
60.5,0.1147,799.3
61,0.1149,799.4
61.5,0.115,799.4
62,0.1152,799.5
62.5,0.1153,799.4
63,0.1155,799.4
63.5,0.1156,799.5
64,0.1158,799.4
64.5,0.1159,799.5
65,0.116,799.4
65.5,0.1162,799.6
66,0.1163,799.7
66.5,0.1165,799.6
67,0.1166,799.5
67.5,0.1168,799.3
68,0.1169,799.5
68.5,0.1171,800.3
69,0.1172,799.6
69.5,0.1174,799.6
70,0.1175,799.5
70.5,0.1176,799.6
71,0.1178,799.4
71.5,0.1179,799.5
72,0.1181,799.3
72.5,0.1182,799.5
73,0.1184,799.5
73.5,0.1185,799.5
74,0.1187,799.5
74.5,0.1188,799.5
75,0.119,799.5
75.5,0.1191,799
76,0.1192,799.4
76.5,0.1194,799.5
77,0.1195,799.7
77.5,0.1197,799.4
78,0.1198,799.5
78.5,0.12,799.5
79,0.1201,799.4
79.5,0.1203,799.4
80,0.1204,799.5
80.5,0.1206,799.5
81,0.1207,800.7
81.5,0.1209,799.8
82,0.121,799.6
82.5,0.1211,799.5
83,0.1213,799.5
83.5,0.1214,799.6
84,0.1216,799.4
84.5,0.1217,799.4
85,0.1219,799.5
85.5,0.122,799.4
86,0.1222,799.2
86.5,0.1223,799.5
87,0.1225,799.4
87.5,0.1226,799.5
88,0.1227,799.7
88.5,0.1229,799.6
89,0.123,799.6
89.5,0.1232,799.4
90,0.1233,799.4
90.5,0.1235,799.4
91,0.1236,800.3
91.5,0.1238,799.5
92,0.1239,799.4
92.5,0.1241,799.6
93,0.1242,799
93.5,0.1244,799.4
94,0.1245,799.9
94.5,0.1246,799.6
95,0.1248,799.4
95.5,0.1249,799.5
96,0.1251,799.4
96.5,0.1252,799.3
97,0.1254,799.6
97.5,0.1255,799.5
98,0.1257,799.4
98.5,0.1258,799.5
99,0.126,799.4
99.5,0.1261,800.5
100,0.1263,799.4
100.5,0.1264,799.4
101,0.1265,799.5
101.5,0.1267,799.4
102,0.1268,799.5
102.5,0.127,799.5
103,0.1271,799.4
103.5,0.1273,799.4
104,0.1274,799.5
104.5,0.1276,799.5
105,0.1277,799.5
105.5,0.1279,799.5
106,0.128,799.5
106.5,0.1281,799.5
107,0.1283,799.4
107.5,0.1284,799.5
108,0.1286,799.7
108.5,0.1287,799.5
109,0.1289,799.5
109.5,0.129,799.4
110,0.1292,799.4
110.5,0.1293,799.5
111,0.1295,799.4
111.5,0.1296,799.4
112,0.1298,799.4
112.5,0.1299,799.6
113,0.13,799.1
113.5,0.1302,799.5
114,0.1303,799.4
114.5,0.1305,799.4
115,0.1306,799.5
115.5,0.1308,799.3
116,0.1309,799.5
116.5,0.1311,799.4
117,0.1312,799.5
117.5,0.1314,799.4
118,0.1315,799.4
118.5,0.1316,799.5
119,0.1318,799.5
119.5,0.1319,799.5
120,0.1321,799.3
120.5,0.1322,799.6
121,0.1324,799.6
121.5,0.1325,799.6
122,0.1327,799.4
122.5,0.1328,799.4
123,0.133,799.4
123.5,0.1331,799.5
124,0.1333,799.6
124.5,0.1334,799.7
125,0.1335,799.5
125.5,0.1337,799.4
126,0.1338,799.5
126.5,0.134,799.5
127,0.1341,799.5
127.5,0.1343,799.5
128,0.1344,799.5
128.5,0.1346,799.6
129,0.1347,799.5
129.5,0.1349,799.4
130,0.135,799.4
130.5,0.1351,799.5
131,0.1353,799.5
131.5,0.1354,799.5
132,0.1356,799.4
132.5,0.1357,801.5
133,0.1359,799.5
133.5,0.136,799.5
134,0.1362,799.6
134.5,0.1363,799.6
135,0.1365,799.4
135.5,0.1366,799.4
136,0.1368,799.5
136.5,0.1369,799.6
137,0.137,799.7
137.5,0.1372,799.1
138,0.1373,799.5
138.5,0.1375,799.5
139,0.1376,799.3
139.5,0.1378,799.5
140,0.1379,799.5
140.5,0.1381,799.2
141,0.1382,799.4
141.5,0.1384,799.4
142,0.1385,799.5
142.5,0.1386,799.4
143,0.1388,799
143.5,0.1389,799.5
144,0.1391,799.3
144.5,0.1392,799.5
145,0.1394,799.4
145.5,0.1395,799.4
146,0.1397,799.4
146.5,0.1398,799.5
147,0.14,799.2
147.5,0.1401,799.5
148,0.1403,799.5
148.5,0.1404,799.5
149,0.1405,799.5
149.5,0.1407,799.6
150,0.1408,799.6
150.5,0.141,799.4
151,0.1411,799.4
151.5,0.1413,799.5
152,0.1414,799.5
152.5,0.1416,799.4
153,0.1417,799.4
153.5,0.1419,799.4
154,0.142,799.5
154.5,0.1421,800.1
155,0.1423,799.4
155.5,0.1424,799.7
156,0.1426,799.4
156.5,0.1427,800.3
157,0.1429,799.4
157.5,0.143,799.5
158,0.1432,799.5
158.5,0.1433,799.5
159,0.1435,799.5
159.5,0.1436,799.3
160,0.1437,799.4
160.5,0.1439,800.5
161,0.144,799.6
161.5,0.1442,799.3
162,0.1443,799.5
162.5,0.1445,799.6
163,0.1446,799.4
163.5,0.1448,799.5
164,0.1449,800
164.5,0.1451,799.6
165,0.1452,799.5
165.5,0.1454,799.5
166,0.1455,799.4
166.5,0.1456,799.6
167,0.1458,799.4
167.5,0.1459,799.4
168,0.1461,799.5
168.5,0.1462,799.5
169,0.1464,799.3
169.5,0.1465,799.5
170,0.1467,799.4
170.5,0.1468,799.4
171,0.147,800.7
171.5,0.1471,799.5
172,0.1472,799.4
172.5,0.1474,799.5
173,0.1475,799.6
173.5,0.1477,799.6
174,0.1478,799.5
174.5,0.148,799.4
175,0.1481,799.5
175.5,0.1483,799.5
176,0.1484,799.5
176.5,0.1486,799.5
177,0.1487,799.4
177.5,0.1489,799.4
178,0.149,799.6
178.5,0.1491,799.4
179,0.1493,799.5
179.5,0.1494,799.4
180,0.1496,799.4
180.5,0.1497,799.4
181,0.1499,799.5
181.5,0.15,799.4
182,0.1502,799.4
182.5,0.1503,799.4
183,0.1505,799.4
183.5,0.1506,799.1
184,0.1507,799.7
184.5,0.1509,799.5
185,0.151,799.7
185.5,0.1512,799.5
186,0.1513,799.4
186.5,0.1515,799.4
187,0.1516,799.5
187.5,0.1518,799.5
188,0.1519,799.6
188.5,0.1521,799.4
189,0.1522,799.3
189.5,0.1524,799.4
190,0.1525,799.4
190.5,0.1526,799
191,0.1528,799.5
191.5,0.1529,799.4
192,0.1531,799.4
192.5,0.1532,799.4
193,0.1534,799.4
193.5,0.1535,799.7
194,0.1537,799.4
194.5,0.1538,799.7
195,0.154,799.5
195.5,0.1541,799.3
196,0.1542,799.4
196.5,0.1544,799.4
197,0.1545,799.4
197.5,0.1547,799.4
198,0.1548,799.6
198.5,0.155,799.4
199,0.1551,799.6
199.5,0.1553,799.5
200,0.1554,799.5
200.5,0.1556,799.6
201,0.1557,799.6
201.5,0.1559,799.3
202,0.156,799.5
202.5,0.1561,799.5
203,0.1563,799.3
203.5,0.1564,799.5
204,0.1566,799.5
204.5,0.1567,799.4
205,0.1569,799.5
205.5,0.157,799.6
206,0.1572,799.4
206.5,0.1573,799.4
207,0.1575,799.7
207.5,0.1576,799.5
208,0.1578,799.5
208.5,0.1579,799.6
209,0.158,799.6
209.5,0.1582,799.5
210,0.1583,799.5
210.5,0.1585,799.6
211,0.1586,799.5
211.5,0.1588,799.5
212,0.1589,799.1
212.5,0.1591,799.5
213,0.1592,799.4
213.5,0.1594,799.5
214,0.1595,799.4
214.5,0.1596,799.6
215,0.1598,799.5
215.5,0.1599,799.4
216,0.1601,799
216.5,0.1602,799.6
217,0.1604,799.5
217.5,0.1605,803.2
218,0.1607,799.6
218.5,0.1608,799.4
219,0.161,799.5
219.5,0.1611,799.4
220,0.1613,799.6
220.5,0.1614,799.5
221,0.1615,799.4
221.5,0.1617,799.5
222,0.1618,799.5
222.5,0.162,799.6
223,0.1621,799.5
223.5,0.1623,799.6
224,0.1624,799.6
224.5,0.1626,799.5
225,0.1627,799.6
225.5,0.1629,799.5
226,0.163,799.6
226.5,0.1631,799
227,0.1633,799
227.5,0.1634,799.6
228,0.1636,799.4
228.5,0.1637,799.5
229,0.1639,799.5
229.5,0.164,799.5
230,0.1642,799.4
230.5,0.1643,799.5
231,0.1645,799.4
231.5,0.1646,799.6
232,0.1648,799.6
232.5,0.1649,799.4
233,0.165,799.3
233.5,0.1652,799.5
234,0.1653,799.6
234.5,0.1655,799.6
235,0.1656,799.4
235.5,0.1658,799.5
236,0.1659,799.5
236.5,0.1661,799.4
237,0.1662,799.5
237.5,0.1664,799.5
238,0.1665,799.6
238.5,0.1666,799.6
239,0.1668,799
239.5,0.1669,799.5
240,0.1671,799.4
240.5,0.1672,799.5
241,0.1674,799.3
241.5,0.1675,799
242,0.1677,799
242.5,0.1678,799.4
243,0.168,799.5
243.5,0.1681,799.5
244,0.1683,799.1
244.5,0.1684,799.5
245,0.1685,799.7
245.5,0.1687,799
246,0.1688,799.4
246.5,0.169,799.4
247,0.1691,799.5
247.5,0.1693,799.5
248,0.1694,799.4
248.5,0.1696,799.4
249,0.1697,799.4
249.5,0.1699,799.5
250,0.17,799.6
250.5,0.1701,799.6
251,0.1703,799.5
251.5,0.1704,799.4
252,0.1706,800.7
252.5,0.1707,799.4
253,0.1709,799.3
253.5,0.171,799.6
254,0.1712,799.4
254.5,0.1713,799.4
255,0.1715,799.5
255.5,0.1716,799.6
256,0.1718,799.5
256.5,0.1719,799.3
257,0.172,799.5
257.5,0.1722,799.5
258,0.1723,799.6
258.5,0.1725,799.4
259,0.1726,799.7
259.5,0.1728,799.5
260,0.1729,799.4
260.5,0.1731,799.4
261,0.1732,799.5
261.5,0.1734,800.1
262,0.1735,799.7
262.5,0.1736,799.5
263,0.1738,799.4
263.5,0.1739,799.5
264,0.1741,799.5
264.5,0.1742,799.4
265,0.1744,799.4
265.5,0.1745,799.3
266,0.1747,799.4
266.5,0.1748,799.5
267,0.175,799.6
267.5,0.1751,799.6
268,0.1752,799.4
268.5,0.1754,799.4
269,0.1755,799.5
269.5,0.1757,799.1
270,0.1758,799.5
270.5,0.176,799.4
271,0.1761,799.4
271.5,0.1763,799.5
272,0.1764,799.4
272.5,0.1766,799.3
273,0.1767,799.4
273.5,0.1769,801.8
274,0.177,799.5
274.5,0.1771,799.5
275,0.1773,799.4
275.5,0.1774,799.4
276,0.1776,799.4
276.5,0.1777,799.6
277,0.1779,799.3
277.5,0.178,799.4
278,0.1782,799.5
278.5,0.1783,799.5
279,0.1785,799.5
279.5,0.1786,799.4
280,0.1787,799.4
280.5,0.1789,799.5
281,0.179,799.4
281.5,0.1792,799.3
282,0.1793,799.5
282.5,0.1795,801.5
283,0.1796,799.4
283.5,0.1798,799.4
284,0.1799,799.5
284.5,0.1801,800.2
285,0.1802,799.4
285.5,0.1804,799.5
286,0.1805,799.5
286.5,0.1806,799.7
287,0.1808,799
287.5,0.1809,799.4
288,0.1811,799.4
288.5,0.1812,799.4
289,0.1814,799.4
289.5,0.1815,799.1
290,0.1817,799.5
290.5,0.1818,799.7
291,0.182,799.4
291.5,0.1821,800.9
292,0.1822,799.6
292.5,0.1824,799.3
293,0.1825,799
293.5,0.1827,799.4
294,0.1828,799.4
294.5,0.183,799.4
295,0.1831,799.4
295.5,0.1833,799.6
296,0.1834,799
296.5,0.1836,799.5
297,0.1837,799.3
297.5,0.1839,799.5
298,0.184,799.6
298.5,0.1841,799.5
299,0.1843,799.4
299.5,0.1844,799.5
300,0.1846,799
300.5,0.1847,799.3
301,0.1849,799.4
301.5,0.185,799.5
302,0.1852,799.4
302.5,0.1853,799.5
303,0.1855,799.5
303.5,0.1856,799.5
304,0.1857,799.5
304.5,0.1859,799
305,0.186,799.5
305.5,0.1862,799.5
306,0.1863,799.5
306.5,0.1865,799.6
307,0.1866,799.4
307.5,0.1868,799.4
308,0.1869,799.4
308.5,0.1871,799.2
309,0.1872,799.3
309.5,0.1874,800.8
310,0.1875,799.5
310.5,0.1876,799.5
311,0.1878,799
311.5,0.1879,799.7
312,0.1881,799
312.5,0.1882,799.4
313,0.1884,799.4
313.5,0.1885,799.6
314,0.1887,799.4
314.5,0.1888,799.4
315,0.189,799.4
