elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.4,0.02251
1,0.01,799.6,0.02251
2,0.01,799.6,0.03298
3,0.01,799.6,0.02251
4,0.01,799.3,0.03298
5,0.01,799.4,0.02251
6,0.01,799.4,0.03298
7,0.01,799.3,0.02251
8,0.01,799.5,0.03298
9,0.01,799.4,0.03298
10,0.01,799.7,0.02251
11,0.01,799.3,0.02251
12,0.01,799.6,0.02251
13,0.01,799.5,0.02251
14,0.01,799.5,0.03298
15,0.01,799.5,0.02251
16,0.01,799.4,0.02251
17,0.01,799.5,0.02251
18,0.01,799.6,21.38
19,0.01,799.5,21.38
20,0.01,799.5,21.38
21,0.01,799.6,21.38
22,0.01,799.4,21.38
23,0.01,799.5,21.38
24,0.01,799.5,21.38
25,0.01,799.4,21.38
26,0.01,799.6,21.38
27,0.01,799.6,21.38
28,0.01,799.5,21.38
29,0.01,799.5,12.47
30,0.01,799.5,7.193
31,0.01,799.4,20.47
32,0.01,799.5,21.38
33,0.01,799.5,19.93
34,0.01,799.4,19.58
35,0.01,799.4,19.85
36,0.01,799.4,19.92
37,0.01,799.4,19.9
38,0.01,799.4,19.92
39,0.01,799.5,19.93
40,0.01,799.4,19.95
41,0.01,799.4,19.94
42,0.01,799.7,19.93
43,0.01,799.5,19.95
44,0.01,799.5,19.97
45,0.01,799.4,19.96
46,0.01,799.5,19.99
47,0.01,799.5,19.97
48,0.01,799.5,19.96
49,0.01,799.4,19.99
50,0.01,799.5,19.96
51,0.01,799.5,19.96
52,0.01,799.4,20
53,0.01,799.5,19.97
54,0.01,799.5,19.97
55,0.01,799.3,19.99
56,0.01,799.6,19.99
57,0.01,799.4,19.97
58,0.01,799.5,19.99
59,0.01,799.5,20
60,0.01,799.6,19.99
61,0.01,799.5,20.01
62,0.01,799.5,20
63,0.01,799.4,20
64,0.01,799.7,20.02
65,0.01,799.5,20
66,0.01,799.6,20.01
67,0.01,799.4,20
68,0.01,799.4,20.01
69,0.01,799.5,20.01
70,0.01,799.4,20.01
71,0.01,799.5,20.03
72,0.01,799.5,20.01
73,0.01,799.5,20.01
74,0.01,799.5,20.03
75,0.01,799.4,20.01
76,0.01,799.5,20.02
77,0.01,799.4,20.04
78,0.01,799.7,20.01
79,0.01,799.5,20.01
80,0.01,799.5,20.04
81,0.01,799.5,20
82,0.01,799.7,20.02
83,0.01,799.4,20.04
84,0.01,799.5,20.02
85,0.01,799.4,20.04
86,0.01,799.4,20.01
87,0.01,799.5,20.02
88,0.01,799.5,20.04
89,0.01,799.6,20.03
90,0.01,799.5,20.01
91,0.01,799.5,20.03
92,0.01,799.6,20.04
93,0.01,799.5,20.02
94,0.01,799.4,20.02
