elapsed_s,power_mA,temperature_C
0,0.001,799.4
2.033,0.001,799.5
4.066,0.001,799.5
6.099,0.0208,799.5
8.132,0.0604,799.6
10.16,0.1,799.5
12.2,0.1003,799.4
14.23,0.1005,799.5
16.26,0.1008,799.5
18.3,0.101,799.4
20.33,0.1013,799.5
22.36,0.1015,799.6
24.4,0.1017,799.5
26.43,0.102,799.4
28.46,0.1022,799.6
30.49,0.1025,799.6
32.53,0.1027,799.7
34.56,0.103,799.5
36.59,0.1032,799.4
38.63,0.1035,799.5
40.66,0.1037,799.9
42.69,0.104,799.6
44.73,0.1042,799.5
46.76,0.1045,799.4
48.79,0.1047,802.2
50.82,0.105,799.6
52.86,0.1052,799.6
54.89,0.1055,799.5
56.92,0.1057,801.4
58.96,0.106,799.6
60.99,0.1062,799.5
63.02,0.1065,799.4
65.06,0.1067,799.6
67.09,0.107,799.5
69.12,0.1072,799.6
71.15,0.1075,800.3
73.19,0.1077,799.5
75.22,0.108,799.3
77.25,0.1082,799.7
79.29,0.1085,799.5
81.32,0.1087,799.5
83.35,0.109,799.5
85.39,0.1092,799.6
87.42,0.1095,799.6
89.45,0.1098,799.5
91.48,0.11,799.6
93.52,0.1103,801.9
95.55,0.1105,799.5
97.58,0.1108,799.5
99.62,0.111,799.4
101.6,0.1113,803
103.7,0.1115,799.6
105.7,0.1118,799.5
107.7,0.112,799.5
109.8,0.1123,799.4
111.8,0.1125,799.4
113.8,0.1128,799.4
115.9,0.113,799.4
117.9,0.1133,799.6
119.9,0.1135,799.5
122,0.1138,799.4
124,0.114,799.5
126,0.1143,799.5
128.1,0.1145,799.4
130.1,0.1148,799.4
132.1,0.115,799.5
134.2,0.1153,799.6
136.2,0.1155,799.5
138.2,0.1158,799
140.3,0.116,799.5
142.3,0.1163,799.5
144.3,0.1165,799.4
146.4,0.1168,799.6
148.4,0.117,799.5
150.4,0.1172,799.6
152.5,0.1175,799.5
154.5,0.1177,799.5
156.5,0.118,799.6
158.6,0.1182,799.7
160.6,0.1185,799.4
162.6,0.1187,799.4
164.7,0.119,799.5
166.7,0.1192,799.4
168.7,0.1195,799.4
170.8,0.1197,799.5
172.8,0.12,799.3
174.8,0.1202,799.6
176.9,0.1205,799.5
178.9,0.1207,799.3
180.9,0.121,799.6
183,0.1212,799.4
185,0.1215,799.5
187,0.1217,799.4
189.1,0.122,799.5
191.1,0.1222,799.3
193.1,0.1225,799.4
195.2,0.1227,799.7
197.2,0.123,799.6
199.2,0.1232,799.5
201.3,0.1235,799.5
203.3,0.1237,799.4
205.3,0.124,799.6
207.4,0.1242,799.3
209.4,0.1245,799.5
211.4,0.1247,799.4
213.5,0.125,799.5
215.5,0.1253,799.4
217.5,0.1255,799.5
219.6,0.1258,799.5
221.6,0.126,799.4
223.6,0.1263,799.4
