elapsed_s,power_mA,temperature_C
0,0,799
2.118,0,799
4.236,0,799
6.354,0,799
8.472,0,799
10.59,0,799
12.71,0.02,799
14.83,0.04,799
16.94,0.06,799
19.06,0.08,799
21.18,0.1,799
23.3,0.1,799
25.42,0.1001,799
27.53,0.1001,799
29.65,0.1001,799
31.77,0.1001,799
33.89,0.1002,799
36.01,0.1002,799
38.12,0.1002,799
40.24,0.1003,799
42.36,0.1003,799
44.48,0.1003,799
46.6,0.1003,799
48.71,0.1004,799
50.83,0.1004,799
52.95,0.1004,799
55.07,0.1004,799
57.19,0.1005,799
59.3,0.1005,799
61.42,0.1005,799
63.54,0.1006,799
65.66,0.1006,799
67.78,0.1006,799
69.89,0.1006,799
72.01,0.1007,799
74.13,0.1007,799
76.25,0.1007,799
78.37,0.1008,799
80.48,0.1008,799
82.6,0.1008,799
84.72,0.1008,799
86.84,0.1009,799
88.96,0.1009,799
91.07,0.1009,799
93.19,0.1009,799
95.31,0.101,799
97.43,0.101,799
99.55,0.101,799
101.7,0.1011,799
103.8,0.1011,799
105.9,0.1011,799
108,0.1011,799
110.1,0.1012,799
112.3,0.1012,799
114.4,0.1012,799
116.5,0.1013,799
118.6,0.1013,799
120.7,0.1013,799
122.8,0.1013,799
125,0.1014,799
127.1,0.1014,799
129.2,0.1014,799
131.3,0.1014,799
133.4,0.1015,799
135.6,0.1015,799
137.7,0.1015,799
139.8,0.1016,799
141.9,0.1016,799
144,0,799
146.1,0,799
148.3,0,799
150.4,0,799
152.5,0,799
154.6,0,799
156.7,0.02,799
158.9,0.04,799
161,0,799
163.1,0,799
165.2,0,799
167.3,0,799
169.4,0,799
171.6,0,799
173.7,0.02,799
175.8,0.04,799
177.9,0,799
180,0,799
182.1,0,799
184.3,0,799
186.4,0,799
188.5,0,799
190.6,0,799
192.7,0,799
194.9,0,799
197,0,799
199.1,0,799
201.2,0,799
203.3,0.02,799
205.4,0.04,799
207.6,0.06,799
209.7,0.08,799
211.8,0.1,799
213.9,0.1,799
216,0.1001,799
218.2,0.1001,799
220.3,0.1001,799
222.4,0.1001,799
224.5,0.1002,799
226.6,0.1002,799
228.7,0.1002,799
230.9,0.1003,799
233,0.1003,799
235.1,0.1003,799
237.2,0.1003,799
239.3,0.1004,799
241.5,0.1004,799
243.6,0.1004,799
245.7,0.1004,799
247.8,0.1005,799
249.9,0.1005,799
252,0.1005,799
254.2,0.1006,799
256.3,0.1006,799
258.4,0.1006,799
260.5,0.1006,799
262.6,0.1007,799
264.8,0.1007,799
266.9,0.1007,799
269,0.1008,799
271.1,0.1008,799
273.2,0.1008,799
275.3,0.1008,799
277.5,0.1009,799
279.6,0.1009,799
281.7,0.1009,799
283.8,0.1009,799
285.9,0.101,799
288,0.101,799
290.2,0.101,799
292.3,0.1011,799
294.4,0.1011,799
296.5,0.1011,799
298.6,0.1011,799
300.8,0.1012,799
302.9,0.1012,799.7
305,0.1012,799.7
307.1,0.1013,799.7
309.2,0.1013,799.7
311.3,0.1013,799.7
313.5,0.1013,799.7
315.6,0.1014,799.7
317.7,0.1014,799.7
319.8,0.1014,799.7
321.9,0.1014,799.7
324.1,0.1015,799.7
326.2,0.1015,799.7
328.3,0.1015,799.7
330.4,0.1016,799.7
332.5,0.1016,799.7
334.6,0.1016,799.7
336.8,0.1016,799.7
338.9,0.1017,799.7
341,0.1017,799.7
343.1,0.1017,799.7
345.2,0.1018,799.7
347.4,0.1018,799.7
349.5,0.1018,799.7
351.6,0.1018,799.7
353.7,0.1019,799.7
355.8,0.1019,799.7
357.9,0.1019,799.7
360.1,0.1019,799.7
362.2,0.102,799.7
364.3,0.102,799.7
366.4,0.102,799.7
368.5,0.1021,799.7
370.7,0.1021,799.7
372.8,0.1021,799.7
374.9,0.1021,799.7
377,0.1022,799.7
379.1,0.1022,799.7
381.2,0.1022,799.7
383.4,0.1023,799.7
385.5,0.1023,799.7
387.6,0.1023,799.7
389.7,0.1023,799.7
391.8,0.1024,799.7
393.9,0.1024,799.7
396.1,0.1024,799.7
398.2,0.1024,799.7
400.3,0.1025,799.7
402.4,0.1025,799.7
404.5,0.1025,799.7
406.7,0.1026,799.7
408.8,0.1026,799.7
410.9,0.1026,799.6
413,0.1026,799.6
415.1,0.1027,799.7
417.2,0.1027,799.6
419.4,0.1027,799.7
421.5,0.1028,799.7
423.6,0.1028,799.6
425.7,0.1028,799.6
427.8,0.1028,799.6
430,0.1029,799.6
432.1,0.1029,799.6
434.2,0.1029,799.6
436.3,0.1029,799.6
438.4,0.103,799.6
440.5,0.103,799.6
442.7,0.103,799.6
444.8,0.1031,799.6
446.9,0.1031,799.6
449,0.1031,799.6
451.1,0.1031,799.6
453.3,0.1032,799.6
455.4,0.1032,799.6
457.5,0.1032,799.6
459.6,0.1033,799.6
461.7,0.1033,799.6
463.8,0.1033,799.6
466,0.1033,799.6
468.1,0.1034,799.6
470.2,0.1034,799.6
472.3,0.1034,799.6
474.4,0.1034,799.6
476.6,0.1035,799.6
478.7,0.1035,799.6
480.8,0.1035,799.6
482.9,0.1036,799.6
485,0.1036,799.6
487.1,0.1036,799.6
489.3,0.1036,799.6
491.4,0.1037,799.6
493.5,0.1037,799.6
495.6,0.1037,799.6
497.7,0.1038,799.6
499.8,0.1038,799.6
502,0.1038,799.6
504.1,0.1038,799.6
506.2,0.1039,799.6
508.3,0.1039,799.6
510.4,0.1039,799.6
512.6,0.104,799.6
514.7,0.104,799.6
516.8,0.104,799.6
518.9,0.104,799.6
521,0.1041,799.6
523.1,0.1041,799.6
525.3,0.1041,799.6
527.4,0.1041,799.6
529.5,0.1042,799.6
531.6,0.1042,799.6
533.7,0.1042,799.6
535.9,0.1043,799.6
538,0.1043,799.6
540.1,0.1043,799.6
542.2,0.1043,799.6
544.3,0.1044,799.6
546.4,0.1044,799.6
548.6,0.1044,799.6
550.7,0.1045,799.6
552.8,0.1045,799.6
554.9,0.1045,799.6
557,0.1045,799.6
559.2,0.1046,799.6
561.3,0.1046,799.6
563.4,0.1046,799.6
565.5,0.1046,799.6
567.6,0.1047,799.6
569.7,0.1047,799.6
571.9,0.1047,799.6
574,0.1048,799.6
576.1,0.1048,799.6
578.2,0.1048,799.6
580.3,0.1048,799.6
582.5,0.1049,799.6
584.6,0.1049,799.6
586.7,0.1049,799.6
588.8,0.105,799.6
590.9,0.105,799.6
593,0.105,799.6
595.2,0.105,799.6
597.3,0.1051,799.6
599.4,0.1051,799.6
601.5,0.1051,799.6
603.6,0.1051,799.6
605.7,0.1052,799.6
607.9,0.1052,799.6
610,0.1052,799.6
612.1,0.1053,799.6
614.2,0.1053,799.6
616.3,0.1053,799.6
618.5,0.1053,799.6
620.6,0.1054,799.6
622.7,0.1054,799.6
624.8,0.1054,799.6
626.9,0.1055,799.6
629,0.1055,799.6
631.2,0.1055,799.6
633.3,0.1055,799.6
635.4,0.1056,799.6
637.5,0.1056,799.6
639.6,0.1056,799.6
641.8,0.1056,799.6
643.9,0.1057,799.6
646,0.1057,799.6
648.1,0.1057,799.6
650.2,0.1058,799.6
652.3,0.1058,799.6
654.5,0.1058,799.6
656.6,0.1058,799.6
658.7,0.1059,799.6
660.8,0.1059,799.6
662.9,0.1059,799.6
665.1,0.106,799.6
667.2,0.106,799.6
669.3,0.106,799.6
671.4,0.106,799.6
673.5,0.1061,799.6
675.6,0.1061,799.6
677.8,0.1061,799.6
679.9,0.1061,799.6
682,0.1062,799.6
684.1,0.1062,799.6
686.2,0.1062,799.6
688.4,0.1063,799.6
690.5,0.1063,799.6
692.6,0.1063,799.6
694.7,0.1063,799.6
696.8,0.1064,799.6
698.9,0.1064,799.6
701.1,0.1064,799.6
703.2,0.1065,799.6
705.3,0.1065,799.6
707.4,0.1065,799.6
709.5,0.1065,799.6
711.6,0.1066,799.6
713.8,0.1066,799.6
715.9,0.1066,799.6
718,0.1066,799.6
720.1,0.1067,799.6
722.2,0.1067,799.6
724.4,0.1067,799.6
726.5,0.1068,799.6
728.6,0.1068,799.6
730.7,0.1068,799.6
732.8,0.1068,799.6
734.9,0.1069,799.6
737.1,0.1069,799.6
739.2,0.1069,799.6
741.3,0.107,799.6
743.4,0.107,799.6
745.5,0.107,799.6
747.7,0.107,799.6
749.8,0.1071,799.6
751.9,0.1071,799.6
754,0.1071,799.6
756.1,0.1071,799.6
758.2,0.1072,799.6
760.4,0.1072,799.6
762.5,0.1072,799.6
764.6,0.1073,799.6
766.7,0.1073,799.6
768.8,0.1073,799.6
771,0.1073,799.6
773.1,0.1074,799.6
775.2,0.1074,799.6
777.3,0.1074,799.6
779.4,0.1075,799.6
781.5,0.1075,799.6
783.7,0.1075,799.6
785.8,0.1075,799.6
787.9,0.1076,799.6
790,0.1076,799.6
792.1,0.1076,799.6
794.3,0.1076,799.6
796.4,0.1077,799.6
798.5,0.1077,799.6
800.6,0.1077,799.6
802.7,0.1078,799.6
804.8,0.1078,799.6
807,0.1078,799.6
809.1,0.1078,799.6
811.2,0.1079,799.6
813.3,0.1079,799.6
815.4,0.1079,799.6
817.5,0.108,799.6
819.7,0.108,799.6
821.8,0.108,799.6
823.9,0.108,799.6
826,0.1081,799.6
828.1,0.1081,799.6
830.3,0.1081,799.6
832.4,0.1081,799.6
834.5,0.1082,799.6
836.6,0.1082,799.6
838.7,0.1082,799.6
840.8,0.1083,799.6
843,0.1083,799.6
845.1,0.1083,799.6
847.2,0.1083,799.6
849.3,0.1084,799.6
851.4,0.1084,799.6
853.6,0.1084,799.6
855.7,0.1085,799.6
857.8,0.1085,799.6
859.9,0.1085,799.6
862,0.1085,799.6
864.1,0.1086,799.6
866.3,0.1086,799.6
868.4,0.1086,799.6
870.5,0.1087,799.6
872.6,0.1087,799.6
