author,agg_score,n_relevant_articles,coauthor_name_collision,affiliations_seen,top_papers
"Zhou, Jie",24.8,1,,"Xi’an Aerospace Propulsion Institute 2 , Xi’an 710100,",[16] 2026 doi:10.1063/5.0301229 An acousto-optic coupled method for temperature field reconstruction in high gradient flam
"Kobayashi, S.",24.7,2,,"Institute of Advanced Energy, Kyoto University 2 , Kyoto 606-8501, | Japan Synchrotron Radiation Research Institute , Sayo, Hyogo, Japan",[9] 2025 doi:10.1063/5.0231450 Measurement of x-ray bremsstrahlung radiation from high energy electrons by stochastic acc; [8] 2023 doi:10.1063/5.0150091 In situ high temperature powder x-ray diffraction technique using a sapphire single-crysta
"Barbisan, Marco",24.5,2,,"Consorzio RFX 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX 2 , Corso Stati Uniti 4, 35127 Padova, Italy",[10] 2020 doi:10.1063/1.5128900 First measurements of optical emission spectroscopy on SPIDER negative ion source; [10] 2019 doi:10.1063/1.5128620 Design and comparison of the Cs ovens for the test facilities ELISE and SPIDER
"Hossack, A. C.",24.3,1,,"Department of Aeronautics and Astronautics, University of Washington 1 , Seattle, Washington 98195, USA","[18] 2022 doi:10.1063/5.0097459 A multi-chord, two-color interferometer using Hilbert transform phase detection for measur"
"Morgan, K. D.",24.3,1,,"Department of Aeronautics and Astronautics, University of Washington 1 , Seattle, Washington 98195, USA","[18] 2022 doi:10.1063/5.0097459 A multi-chord, two-color interferometer using Hilbert transform phase detection for measur"
"Hansen, C. J.",24.3,1,,"Department of Aeronautics and Astronautics, University of Washington 1 , Seattle, Washington 98195, USA","[18] 2022 doi:10.1063/5.0097459 A multi-chord, two-color interferometer using Hilbert transform phase detection for measur"
"Sutherland, D. A.",24.3,1,,"CTFusion, Inc. 2 , Seattle, Washington 98121, USA","[18] 2022 doi:10.1063/5.0097459 A multi-chord, two-color interferometer using Hilbert transform phase detection for measur"
"Hirayama, Y.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Mukai, M.",24.0,1,,"Graduate School of Pure and Applied Sciences, University of Tsukuba 2 , Ibaraki 305-0006, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Watanabe, Y. X.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Oyaizu, M.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Jeong, S. C.",24.0,1,,"Rare Isotope Science Project, Institute for Basic Science (IBS) 3 , Daejeon 305-811, South Korea",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Kakiguchi, Y.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Schury, P.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Wada, M.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Miyatake, H.",24.0,1,,"Wako Nuclear Science Center (WNSC), Institute of Particle and Nuclear Studies (IPNS), High Energy Accelerator Research Organization (KEK) 1 , Saitama 351-0198, Japan",[20] 2019 doi:10.1063/1.5124444 Efficient two-color two-step laser ionization schemes of λ1 ∼ 250 nm and λ2 = 307.9 nm for
"Larichev, Mikhail N.",24.0,1,,"Talrose Institute for Energy Problems of Chemical Physics, Russian Academy of Sciences, Moscow 119334, Russia",[20] 2019 doi:10.1063/1.5063447 Application of two-color pyrometer for studying of flying luminous particles: Products of 
"Belyaev, Grigori E.",24.0,1,,"Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow 125412, Russia | Talrose Institute for Energy Problems of Chemical Physics, Russian Academy of Sciences, Moscow 119334, Russi",[20] 2019 doi:10.1063/1.5063447 Application of two-color pyrometer for studying of flying luminous particles: Products of 
"Stepanov, Ilya G.",24.0,1,,"Talrose Institute for Energy Problems of Chemical Physics, Russian Academy of Sciences, Moscow 119334, Russia",[20] 2019 doi:10.1063/1.5063447 Application of two-color pyrometer for studying of flying luminous particles: Products of 
"Velichko, Alexander M.",24.0,1,,"Talrose Institute for Energy Problems of Chemical Physics, Russian Academy of Sciences, Moscow 119334, Russia",[20] 2019 doi:10.1063/1.5063447 Application of two-color pyrometer for studying of flying luminous particles: Products of 
"Du, Shaohui",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Liu, Jie",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Zhu, Guangyu",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Yang, Jiancheng",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Jiao, Jiqiang",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Zhang, Xiang",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Shen, Guodong",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Wu, Junxia",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Luo, Cheng",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Meng, Jun",23.8,1,,"Institute of Modern Physics, Chinese Academy of Sciences 1 , Lanzhou 730000, China | University of Chinese Academy of Sciences 2 , Beijing 100049, China",[17] 2023 doi:10.1063/5.0161008 Measurement and optimization of the beam coupling impedance of a novel 3D-printed titanium
"Kneschaurek, Ekaterina",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Hinderhofer, Alexander",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Hofferberth, Bernd",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Scheffczyk, Niels",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Pithan, Linus",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Zimmermann, Paul",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Merten, Lena",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Bertram, Florian",23.8,1,,"Deutsches Elektronen-Synchrotron DESY 2 , Notkestr. 85, 22607 Hamburg, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Schreiber, Frank",23.8,1,,"Institute of Applied Physics, University of Tübingen 1 , 72076 Tübingen, Germany",[17] 2023 doi:10.1063/5.0149613 Compact sample environment for in situ X-ray scattering during spin-coating
"Prat, Alain",23.7,2,,"Institut Néel, UPR 2940 CNRS - Université Grenoble Alpes 1 , Grenoble F-38000, France | Institut Néel, UPR 2940 CNRS–Université Grenoble Alpes 2 , F-38000 Grenoble, France",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Ould-Chikh, Samy",23.7,2,,"KAUST Catalysis Center (KCC), King Abdullah University of Science and Technology (KAUST) 2 , Thuwal 23955, Saudi Arabia | King Abdullah University of Science and Technology (KAUST), KAUST Catalysis Ce",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Lahera, Eric",23.7,2,,"OSUG, UAR 832 CNRS - Université Grenoble Alpes 3 , F-38041 Grenoble, France | OSUG, UMS 832 CNRS-Université Grenoble Alpes 3 , F-38041 Grenoble, France",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Proux, Olivier",23.7,2,,"OSUG, UAR 832 CNRS - Université Grenoble Alpes 3 , F-38041 Grenoble, France | OSUG, UMS 832 CNRS-Université Grenoble Alpes 3 , F-38041 Grenoble, France",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Delnet, William",23.7,2,,"OSUG, UAR 832 CNRS - Université Grenoble Alpes 3 , F-38041 Grenoble, France | OSUG, UMS 832 CNRS-Université Grenoble Alpes 3 , F-38041 Grenoble, France",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Kieffer, Isabelle",23.7,2,,"OSUG, UAR 832 CNRS - Université Grenoble Alpes 3 , F-38041 Grenoble, France | OSUG, UMS 832 CNRS-Université Grenoble Alpes 3 , F-38041 Grenoble, France",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Hazemann, Jean-Louis",23.7,2,,"Institut Néel, UPR 2940 CNRS - Université Grenoble Alpes 1 , Grenoble F-38000, France | Institut Néel, UPR 2940 CNRS–Université Grenoble Alpes 2 , F-38000 Grenoble, France",[10] 2024 doi:10.1063/5.0202557 Novel high-pressure/high-temperature reactor cell for in situ and operando x-ray absorptio; [8] 2018 doi:10.1063/1.4998929 A new high temperature reactor for operando XAS: Application for the dry reforming of meth
"Nocente, M.",23.5,2,,"Consiglio Nazionale delle Ricerche 3 Istituto di Fisica del Plasma “P. Caldirola,” , Milano, Italy | Culham Science Centre 1 EUROfusion Consortium, JET, , Abingdon, OX14 3DB, United Kingdom | Dipartim",[12] 2015 doi:10.1063/1.4931755 Fast ion energy distribution from third harmonic radio frequency heating measured with a s; [10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron 
"Tardocchi, M.",23.5,2,,"Consiglio Nazionale delle Ricerche 3 Istituto di Fisica del Plasma “P. Caldirola,” , Milano, Italy | Culham Science Centre 1 EUROfusion Consortium, JET, , Abingdon, OX14 3DB, United Kingdom | Istituto",[12] 2015 doi:10.1063/1.4931755 Fast ion energy distribution from third harmonic radio frequency heating measured with a s; [10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron 
"Muraro, A.",23.5,2,,"Consiglio Nazionale delle Ricerche 3 Istituto di Fisica del Plasma “P. Caldirola,” , Milano, Italy | Culham Science Centre 1 EUROfusion Consortium, JET, , Abingdon, OX14 3DB, United Kingdom | Istituto",[12] 2015 doi:10.1063/1.4931755 Fast ion energy distribution from third harmonic radio frequency heating measured with a s; [10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron 
"Rebai, M.",23.5,2,,"Consiglio Nazionale delle Ricerche 3 Istituto di Fisica del Plasma “P. Caldirola,” , Milano, Italy | Culham Science Centre 1 EUROfusion Consortium, JET, , Abingdon, OX14 3DB, United Kingdom | Istituto",[12] 2015 doi:10.1063/1.4931755 Fast ion energy distribution from third harmonic radio frequency heating measured with a s; [10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron 
"Gorini, G.",23.5,2,,"Consiglio Nazionale delle Ricerche 3 Istituto di Fisica del Plasma “P. Caldirola,” , Milano, Italy | Culham Science Centre 1 EUROfusion Consortium, JET, , Abingdon, OX14 3DB, United Kingdom | Dipartim",[12] 2015 doi:10.1063/1.4931755 Fast ion energy distribution from third harmonic radio frequency heating measured with a s; [10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron 
"Roy, Amitava",23.5,2,,"Center for Advanced Microstructures and Devices, Louisiana State University 3 , Baton Rouge, Louisiana 70803, | Variable Energy Cyclotron Centre , 1/AF Bidhan Nagar, Kolkata 700064, India","[10] 2024 doi:10.1063/5.0213480 Demonstration of a container-less method for investigating high-temperature alloy properti; [9] 2015 doi:10.1063/1.4915318 Implementation of EPICS based vacuum control system for variable energy cyclotron centre, "
"Dobson, David P.",23.4,1,,"Department of Earth Sciences, University College London , Gower Street, London WC1E 6BT, United Kingdom",[18] 2021 doi:10.1063/5.0044780 The tungsten carbide–carbon monoxide–tungsten buffer and its use for synthesizing iron-bea
"Ishii, Takayuki",23.4,2,,"Bayerisches Geoinstitut, University of Bayreuth 1 , 95440 Bayreuth, Germany | Center for High Pressure Science and Technology Advanced Research 2 , Beijing 100094, China | Center for High Pressure Sci",[10] 2021 doi:10.1063/5.0062525 A simplified rapid-quench multi-anvil technique; [8] 2021 doi:10.1063/5.0059279 Simultaneous generation of ultrahigh pressure and temperature to 50 GPa and 3300 K in mult
"Chanyshev, Artem",23.4,2,,"Bayerisches Geoinstitut, University of Bayreuth 1 , 95440 Bayreuth, Germany | Bayerisches Geoinstitut, University of Bayreuth 1 , Universitätsstraße 30, 95447 Bayreuth, Germany | Deutsche Elektronen-S",[10] 2021 doi:10.1063/5.0062525 A simplified rapid-quench multi-anvil technique; [8] 2021 doi:10.1063/5.0059279 Simultaneous generation of ultrahigh pressure and temperature to 50 GPa and 3300 K in mult
Subodh,23.2,1,,"Department of Physics, Panjab University 1 , Chandigarh 160014, India",[16] 2024 doi:10.1063/5.0213676 Role of an in-house designed crucible in the fabrication of isotopically enriched 28Si tar
"S. R., Abhilash",23.2,1,,"Inter University Accelerator Center 2 , Aruna Asaf Ali Marg, New Delhi 110067, India",[16] 2024 doi:10.1063/5.0213676 Role of an in-house designed crucible in the fabrication of isotopically enriched 28Si tar
"Sharma, Madan",23.2,1,,"Indian Institute of Technology 3 , New Delhi 110016, India",[16] 2024 doi:10.1063/5.0213676 Role of an in-house designed crucible in the fabrication of isotopically enriched 28Si tar
"Kapil, Ashutosh",23.2,1,,"Department of Physics, Panjab University 1 , Chandigarh 160014, India",[16] 2024 doi:10.1063/5.0213676 Role of an in-house designed crucible in the fabrication of isotopically enriched 28Si tar
"Singh, R. P.",23.2,1,,"Inter University Accelerator Center 2 , Aruna Asaf Ali Marg, New Delhi 110067, India",[16] 2024 doi:10.1063/5.0213676 Role of an in-house designed crucible in the fabrication of isotopically enriched 28Si tar
"Behera, B. R.",23.2,1,,"Department of Physics, Panjab University 1 , Chandigarh 160014, India",[16] 2024 doi:10.1063/5.0213676 Role of an in-house designed crucible in the fabrication of isotopically enriched 28Si tar
"Zhang, Yan",23.0,1,,"School of Instrument Science and Opto-Electronics Engineering, Hefei University of Technology , Hefei 230009, China",[20] 2018 doi:10.1063/1.5034233 Research on the normal spectral band emissivity of tungsten between 150 and 500 °C
"Ji, Feng",23.0,1,,"School of Instrument Science and Opto-Electronics Engineering, Hefei University of Technology , Hefei 230009, China",[20] 2018 doi:10.1063/1.5034233 Research on the normal spectral band emissivity of tungsten between 150 and 500 °C
"Lu, Rongsheng",23.0,1,,"School of Instrument Science and Opto-Electronics Engineering, Hefei University of Technology , Hefei 230009, China",[20] 2018 doi:10.1063/1.5034233 Research on the normal spectral band emissivity of tungsten between 150 and 500 °C
"Barbisan, M.",23.0,2,,"Consorzio RFX (CNR, ENEA, INFN, UNIPD, Acciaierie Venete SpA) 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX 1 , Corso Stati Uniti 4, 35127 Padova, Italy",[10] 2021 doi:10.1063/5.0043226 Development and first operation of a cavity ring down spectroscopy diagnostic in the negat; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Taliercio, C.",23.0,2,,"Consorzio RFX (CNR, ENEA, INFN, UNIPD, Acciaierie Venete SpA) 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX 1 , Corso Stati Uniti 4, 35127 Padova, Italy",[10] 2021 doi:10.1063/5.0043226 Development and first operation of a cavity ring down spectroscopy diagnostic in the negat; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Fei, Hongzhan",23.0,2,,"Bayerisches Geoinstitut, University of Bayreuth , D95447 Bayreuth, Germany | Bayerisches Geoinstitut, University of Bayreuth 1 , Universitätsstraße 30, 95447 Bayreuth, Germany",[10] 2021 doi:10.1063/5.0062525 A simplified rapid-quench multi-anvil technique; [8] 2020 doi:10.1063/5.0005936 A rapid-quench technique for multi-anvil high-pressure-temperature experiments
"Withers, Anthony C.",23.0,2,,"Bayerisches Geoinstitut, University of Bayreuth , D95447 Bayreuth, Germany | Bayerisches Geoinstitut, University of Bayreuth 1 , Universitätsstraße 30, 95447 Bayreuth, Germany",[10] 2021 doi:10.1063/5.0062525 A simplified rapid-quench multi-anvil technique; [8] 2020 doi:10.1063/5.0005936 A rapid-quench technique for multi-anvil high-pressure-temperature experiments
"Yuan, Zeye",23.0,1,,"Henan Key Laboratory of Infrared Materials and Spectrum Measures and Applications, School of Physics, Henan Normal University , Xinxiang, Henan 453007, People’s Republic of China",[17] 2022 doi:10.1063/5.0073459 New directional spectral emissivity measurement apparatus simultaneously collecting the bl
"Yu, Kun",23.0,1,,"Henan Key Laboratory of Infrared Materials and Spectrum Measures and Applications, School of Physics, Henan Normal University , Xinxiang, Henan 453007, People’s Republic of China",[17] 2022 doi:10.1063/5.0073459 New directional spectral emissivity measurement apparatus simultaneously collecting the bl
"Li, Longfei",23.0,1,,"Henan Key Laboratory of Infrared Materials and Spectrum Measures and Applications, School of Physics, Henan Normal University , Xinxiang, Henan 453007, People’s Republic of China",[17] 2022 doi:10.1063/5.0073459 New directional spectral emissivity measurement apparatus simultaneously collecting the bl
"Wang, Gangquan",23.0,1,,"Henan Key Laboratory of Infrared Materials and Spectrum Measures and Applications, School of Physics, Henan Normal University , Xinxiang, Henan 453007, People’s Republic of China",[17] 2022 doi:10.1063/5.0073459 New directional spectral emissivity measurement apparatus simultaneously collecting the bl
"Zhang, Kaihua",23.0,1,,"Henan Key Laboratory of Infrared Materials and Spectrum Measures and Applications, School of Physics, Henan Normal University , Xinxiang, Henan 453007, People’s Republic of China",[17] 2022 doi:10.1063/5.0073459 New directional spectral emissivity measurement apparatus simultaneously collecting the bl
"Liu, Yufang",23.0,1,,"Henan Key Laboratory of Infrared Materials and Spectrum Measures and Applications, School of Physics, Henan Normal University , Xinxiang, Henan 453007, People’s Republic of China",[17] 2022 doi:10.1063/5.0073459 New directional spectral emissivity measurement apparatus simultaneously collecting the bl
"Sondermann, E.",22.5,1,,"Institut für Materialphysik im Weltraum, Deutsches Zentrum für Luft- und Raumfahrt 1 , 51170 Köln, Germany",[18] 2020 doi:10.1063/1.5124548 XRISE-M: X-radiography facility for solidification and diffusion studies of alloys aboard 
"Ma, Jinyao",22.5,1,,"Institute of Microstructure and Property of Advanced Materials, Beijing University of Technology 1 , Beijing 100124, China",[18] 2020 doi:10.1063/1.5142807 A novel instrument for investigating the dynamic microstructure evolution of high temperat
"Lu, Junxia",22.5,1,,"Institute of Laser Engineering, Beijing University of Technology 2 , Beijing 100124, China",[18] 2020 doi:10.1063/1.5142807 A novel instrument for investigating the dynamic microstructure evolution of high temperat
"Tang, Liang",22.5,1,,"Institute of Microstructure and Property of Advanced Materials, Beijing University of Technology 1 , Beijing 100124, China",[18] 2020 doi:10.1063/1.5142807 A novel instrument for investigating the dynamic microstructure evolution of high temperat
"Sang, Lijun",22.5,1,,"Institute of Microstructure and Property of Advanced Materials, Beijing University of Technology 1 , Beijing 100124, China",[18] 2020 doi:10.1063/1.5142807 A novel instrument for investigating the dynamic microstructure evolution of high temperat
"Zhang, Yuefei",22.5,1,,"Institute of Microstructure and Property of Advanced Materials, Beijing University of Technology 1 , Beijing 100124, China",[18] 2020 doi:10.1063/1.5142807 A novel instrument for investigating the dynamic microstructure evolution of high temperat
"Zhang, Ze",22.5,1,,"Institute of Microstructure and Property of Advanced Materials, Beijing University of Technology 1 , Beijing 100124, China | School of Materials Science and Engineering, Zhejiang University 3 , 310027",[18] 2020 doi:10.1063/1.5142807 A novel instrument for investigating the dynamic microstructure evolution of high temperat
"Brombin, Matteo",22.5,2,,"Consorzio RFX (CNR, ENEA, INFN, Università di Padova, Acciaierie Venete S.p.A.) 1 , C. Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX 2 , Corso Stati Uniti 4, 35127 Padova, Italy",[10] 2020 doi:10.1063/1.5128562 Assessment of the SPIDER beam features by diagnostic calorimetry and thermography; [8] 2020 doi:10.1063/1.5129650 Design and development of an Allison type emittance scanner for the SPIDER ion source
"Serianni, Gianluigi",22.5,2,,"Consorzio RFX (CNR, ENEA, INFN, Università di Padova, Acciaierie Venete S.p.A.) 1 , C. Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX 2 , Corso Stati Uniti 4, 35127 Padova, Italy",[10] 2020 doi:10.1063/1.5128562 Assessment of the SPIDER beam features by diagnostic calorimetry and thermography; [8] 2020 doi:10.1063/1.5129650 Design and development of an Allison type emittance scanner for the SPIDER ion source
"Tollin, Marco",22.5,2,,"Consorzio RFX (CNR, ENEA, INFN, Università di Padova, Acciaierie Venete S.p.A.) 1 , C. Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX 2 , Corso Stati Uniti 4, 35127 Padova, Italy",[10] 2020 doi:10.1063/1.5128562 Assessment of the SPIDER beam features by diagnostic calorimetry and thermography; [8] 2020 doi:10.1063/1.5129650 Design and development of an Allison type emittance scanner for the SPIDER ion source
"Sun, Yifan",22.1,1,,"Graduate School of Engineering, Osaka University , Osaka, Japan",[17] 2021 doi:10.1063/5.0055555 Multiple-gas cooling method for constant-pressure heat capacity measurement of liquid meta
"Muta, Hiroaki",22.1,1,,"Graduate School of Engineering, Osaka University , Osaka, Japan",[17] 2021 doi:10.1063/5.0055555 Multiple-gas cooling method for constant-pressure heat capacity measurement of liquid meta
"Ohishi, Yuji",22.1,1,,"Graduate School of Engineering, Osaka University , Osaka, Japan",[17] 2021 doi:10.1063/5.0055555 Multiple-gas cooling method for constant-pressure heat capacity measurement of liquid meta
"Klein, S.",22.0,1,,"Deutsches Zentrum für Luft- und Raumfahrt (DLR) Institut für Materialphysik im Weltraum, , 51170 Köln, Germany",[22] 2015 doi:10.1063/1.4922359 Near-isothermal furnace for in situ and real time X-ray radiography solidification experim
"Schollmeier, M. S.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Knapp, P. F.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Ampleford, D. J.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Harding, E. C.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Jennings, C. A.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Lamppa, D. C.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Loisel, G. P.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
"Martin, M. R.",22.0,1,,"Sandia National Laboratories 1 , Albuquerque, New Mexico 87185, USA","[20] 2017 doi:10.1063/1.4994566 A 7.2 keV spherical x-ray crystal backlighter for two-frame, two-color backlighting at San"
