path,size_bytes,ext,committed
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/IQ_step5um.bmp",2103342,bmp,yes
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/README.txt",319,txt,yes
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/Thumbs.db",50688,db,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea.oim",116118528,oim,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step20um.ohp",6468436,ohp,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step20um.osc",7973207,osc,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step20um_ExtraSlns.txt",1480653,txt,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step5um.ang",23823987,ang,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step5um.ohp",103299235,ohp,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step5um.osc",111638327,osc,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/expArea_step5um_ExtraSlns.txt",23692959,txt,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/tilt70_expArea.tif",1701874,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/tilt70_expAreaEdge.tif",1701884,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/tilt70_expAreaMiddle.tif",1701881,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/tilt70_expAreaMiddle_001.tif",1701915,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/tilt70_expAreaMiddle_002.tif",1701914,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_033_sharpie/tilt70_expAreaMiddle_GB.tif",1701926,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/OIM_pattern.JPG",226000,jpg,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/reg1.ang",6628084,ang,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/reg1.ohp",29828223,ohp,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/reg1.osc",31681351,osc,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/reg1_ExtraSlns.txt",6578355,txt,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_edge_GBs.tif",1701874,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_edge_GBs_001.tif",6760554,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_edge_GBs_002.tif",6760548,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_GBs.tif",6760555,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_TJ.tif",1701891,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_TJ_001.tif",6760562,tif,yes
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_TJ_002.tif",6760564,tif,yes
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_TJ_003.tif",1701879,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grain.tif",6760556,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grain_001.tif",1701897,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grain_002.tif",6760565,tif,yes
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grain_003.tif",6760555,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grain_004.tif",1701897,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grain_005.tif",6760557,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Ni4N5_053_grooves/tilt70_middle_grains.tif",6760561,tif,no
"200305_Ni4N5_033,053_sharpie_grooving/Thumbs.db",113664,db,no
200321_Ni4N5_075/reg4b.ang,26532,ang,no
200321_Ni4N5_075/reg4b.ohp,94103,ohp,no
200321_Ni4N5_075/reg4b.osc,1159671,osc,no
200321_Ni4N5_075/reg4b_ExtraSlns.txt,23157,txt,yes
200321_Ni4N5_075/reg5.ang,416860,ang,no
200321_Ni4N5_075/reg5.ohp,1787238,ohp,no
200321_Ni4N5_075/reg5.osc,2974687,osc,no
200321_Ni4N5_075/reg5_ExtraSlns.txt,416640,txt,no
200321_Ni4N5_075/reg5_OIM.bmp,3145782,bmp,yes
200321_Ni4N5_075/reg5_OIM_screenshot.JPG,106932,jpg,no
200321_Ni4N5_075/reg5_tilt70.tif,13482117,tif,yes
200321_Ni4N5_075/reg6.tif,13482125,tif,yes
200423_Ni4N5_069/IPF.png,376373,png,yes
200423_Ni4N5_069/Scan3_1_Mod.ang,30482858,ang,no
200423_Ni4N5_069/Scan3_1_Mod.h5,11882667,h5,no
200423_Ni4N5_069/Scan3_1_Mod.osc,13903644,osc,no
200423_Ni4N5_069/Scan3_2.osc,98068479,osc,no
200423_Ni4N5_069/Scan3_2_Mod.ang,30482858,ang,no
200423_Ni4N5_069/Scan3_2_Mod.h5,11882667,h5,no
200423_Ni4N5_069/Scan3_2_Mod.osc,13904155,osc,no
200423_Ni4N5_069/Scan3_ExtraSlns.txt,20766342,txt,no
200423_Ni4N5_069/Scan3_IPF.tif,41910624,tif,no
200423_Ni4N5_069/Scan4_ETD_OIM_overlay.JPG,125815,jpg,yes
200423_Ni4N5_069/Scan4_lowQualityRegion.ang,2474602,ang,no
200423_Ni4N5_069/Scan4_lowQualityRegion.ohp,11164029,ohp,no
200423_Ni4N5_069/Scan4_lowQualityRegion.osc,12488423,osc,no
200423_Ni4N5_069/Scan4_lowQualityRegion_ExtraSlns.txt,2435577,txt,no
200423_Ni4N5_069/Thumbs.db,68096,db,no
200423_Ni4N5_069/align.txt,112,txt,yes
200423_Ni4N5_069/align_misorientations.txt,13,txt,yes
200423_Ni4N5_069/side1.oim,543253504,oim,no
200423_Ni4N5_069/stack_test/Ni4N5_069_Zcompress.dream3d,39890052,dream3d,no
200423_Ni4N5_069/stack_test/Ni4N5_069_Zcompress.xdmf,3787,xdmf,no
200423_Ni4N5_069/stack_test/align.txt,112,txt,yes
200423_Ni4N5_069/stack_test/ascii_in/FaceLabels.txt,6496798,txt,no
200423_Ni4N5_069/stack_test/ascii_in/IPFColor.txt,17379746,txt,no
200423_Ni4N5_069/stack_test/ascii_in/Mask.txt,3784110,txt,no
200423_Ni4N5_069/stack_test/ascii_in/NodeType.txt,1102202,txt,no
