0,0
0.01,0
0.02,0
0.03,5
0.04,18
0.05,36
0.06,45
0.07,53
0.08,76
0.09,74
0.1,112
0.11,118
0.12,125
0.13,162
0.14,153
0.15,166
0.16,172
0.17,201
0.18,224
0.19,275
0.2,249
0.21,318
0.22,320
0.23,390
0.24,401
0.25,443
0.26,454
0.27,380
0.28,383
0.29,297
0.3,295
0.31,267
0.32,283
0.33,298
0.34,348
0.35,332
0.36,359
0.37,403
0.38,381
0.39,431
0.4,414
0.41,431
0.42,449
0.43,476
0.44,499
0.45,541
0.46,580
0.47,573
0.48,637
0.49,650
0.5,724
0.51,745
0.52,734
0.53,724
0.54,760
0.55,770
0.56,785
0.57,786
0.58,825
0.59,887
0.6,941
0.61,1023
0.62,1137
0.63,1206
0.64,1347
0.65,1531
0.66,1590
0.67,1853
0.68,2128
0.69,2570
0.7,3353
0.71,4348
0.72,5486
0.73,6349
0.74,6833
0.75,6888
0.76,6348
0.77,5924
0.78,6062
0.79,6873
0.8,9344
0.81,13411
0.82,18914
0.83,25003
0.84,29224
0.85,30951
0.86,28951
0.87,23872
0.88,17513
0.89,11548
0.9,7037
0.91,4062
0.92,2359
0.93,1491
0.94,1062
0.95,901
0.96,729
0.97,639
0.98,585
0.99,558
1,448
1.01,506
1.02,440
1.03,426
1.04,471
1.05,431
1.06,435
1.07,415
1.08,440
1.09,476
1.1,427
1.11,454
1.12,448
1.13,460
1.14,527
1.15,495
1.16,492
1.17,476
1.18,460
1.19,476
1.2,497
1.21,460
1.22,508
1.23,515
1.24,521
1.25,549
1.26,566
1.27,534
1.28,538
1.29,550
1.3,518
1.31,559
1.32,564
1.33,583
1.34,520
1.35,554
1.36,539
1.37,582
1.38,532
1.39,560
1.4,601
1.41,530
1.42,574
1.43,566
1.44,529
1.45,574
1.46,568
1.47,562
1.48,616
1.49,609
1.5,586
1.51,605
1.52,548
1.53,577
1.54,558
1.55,560
1.56,563
1.57,550
1.58,523
1.59,518
1.6,519
1.61,584
1.62,536
1.63,544
1.64,558
1.65,522
1.66,552
1.67,636
1.68,579
1.69,635
1.7,566
1.71,598
1.72,592
1.73,606
1.74,608
1.75,604
1.76,618
1.77,601
1.78,568
1.79,601
1.8,591
1.81,597
1.82,580
1.83,579
1.84,519
1.85,581
1.86,537
1.87,524
1.88,493
1.89,528
1.9,557
1.91,509
1.92,547
1.93,515
1.94,518
1.95,566
1.96,579
1.97,484
1.98,536
1.99,520
2,508
2.01,528
2.02,514
2.03,528
2.04,526
2.05,533
2.06,515
2.07,548
2.08,538
2.09,541
2.1,524
2.11,522
2.12,500
2.13,513
2.14,505
2.15,494
2.16,481
2.17,540
2.18,555
2.19,513
2.2,495
2.21,503
2.22,533
2.23,558
2.24,490
2.25,499
2.26,504
2.27,524
2.28,525
2.29,530
2.3,568
2.31,548
2.32,544
2.33,535
2.34,488
2.35,533
2.36,519
2.37,543
2.38,515
2.39,488
2.4,510
2.41,503
2.42,495
2.43,501
2.44,494
2.45,495
2.46,518
2.47,493
2.48,528
2.49,471
2.5,517
2.51,492
2.52,504
2.53,485
2.54,513
2.55,475
2.56,506
2.57,495
2.58,454
2.59,500
2.6,497
2.61,466
2.62,464
2.63,515
2.64,471
2.65,469
2.66,476
2.67,473
2.68,470
2.69,473
2.7,499
2.71,470
2.72,465
2.73,509
2.74,458
2.75,470
2.76,463
2.77,435
2.78,461
2.79,463
2.8,456
2.81,436
2.82,461
2.83,474
2.84,459
2.85,439
2.86,493
2.87,469
2.88,462
2.89,454
2.9,449
2.91,421
2.92,396
2.93,403
2.94,440
2.95,443
2.96,455
2.97,406
2.98,414
2.99,464
3,449
3.01,426
3.02,448
3.03,438
3.04,421
3.05,460
3.06,396
3.07,462
3.08,398
3.09,426
3.1,459
3.11,439
3.12,444
3.13,448
3.14,428
3.15,453
3.16,440
3.17,433
3.18,396
3.19,424
3.2,402
3.21,434
3.22,389
3.23,443
3.24,374
3.25,402
3.26,387
3.27,428
3.28,429
3.29,419
3.3,395
3.31,426
3.32,383
3.33,407
3.34,417
3.35,459
3.36,389
3.37,391
3.38,399
3.39,389
3.4,370
3.41,364
3.42,404
3.43,426
3.44,407
3.45,380
3.46,397
3.47,411
3.48,374
3.49,394
3.5,384
3.51,372
3.52,377
3.53,379
3.54,390
3.55,362
3.56,361
3.57,364
3.58,403
3.59,392
3.6,374
3.61,372
3.62,388
3.63,400
3.64,375
3.65,398
3.66,355
3.67,383
3.68,363
3.69,395
3.7,377
3.71,382
3.72,384
3.73,362
3.74,349
3.75,361
3.76,377
3.77,346
3.78,358
3.79,345
3.8,353
3.81,380
3.82,334
3.83,322
3.84,368
3.85,366
3.86,375
3.87,346
3.88,334
3.89,321
3.9,350
3.91,347
3.92,358
3.93,297
3.94,380
3.95,333
3.96,324
3.97,348
3.98,334
3.99,328
4,391
4.01,336
4.02,370
4.03,350
4.04,340
4.05,326
4.06,323
4.07,339
4.08,330
4.09,356
4.1,347
4.11,339
4.12,317
4.13,330
4.14,311
4.15,330
4.16,327
4.17,306
4.18,333
4.19,319
4.2,314
4.21,308
4.22,291
4.23,304
4.24,304
4.25,291
4.26,332
4.27,304
4.28,311
4.29,325
4.3,350
4.31,311
4.32,340
4.33,307
4.34,321
4.35,320
4.36,321
4.37,320
4.38,317
4.39,293
4.4,304
4.41,273
4.42,305
4.43,320
4.44,339
4.45,314
4.46,302
4.47,294
4.48,286
4.49,331
4.5,290
4.51,312
4.52,305
4.53,274
4.54,298
4.55,276
4.56,282
4.57,302
4.58,310
4.59,291
4.6,298
4.61,258
4.62,302
4.63,319
4.64,274
4.65,249
4.66,272
4.67,278
4.68,297
4.69,286
4.7,281
4.71,269
4.72,281
4.73,299
4.74,286
4.75,289
4.76,274
4.77,305
4.78,265
4.79,298
4.8,289
4.81,268
4.82,264
4.83,249
4.84,280
4.85,278
4.86,278
4.87,276
4.88,290
4.89,277
4.9,293
4.91,267
4.92,264
4.93,266
4.94,263
4.95,268
4.96,260
4.97,279
4.98,271
4.99,276
5,231
5.01,279
5.02,262
5.03,260
5.04,249
5.05,243
5.06,262
5.07,275
5.08,249
5.09,257
5.1,250
5.11,262
5.12,269
5.13,274
5.14,278
5.15,259
5.16,253
5.17,247
5.18,231
5.19,249
5.2,269
5.21,221
5.22,247
5.23,225
5.24,252
5.25,256
5.26,278
5.27,247
5.28,253
5.29,231
5.3,243
5.31,254
5.32,248
5.33,251
5.34,263
5.35,274
5.36,280
5.37,250
5.38,225
5.39,233
5.4,222
5.41,226
5.42,243
5.43,235
5.44,236
5.45,222
5.46,266
5.47,245
5.48,249
5.49,239
5.5,231
5.51,244
5.52,264
5.53,249
5.54,262
5.55,251
5.56,255
5.57,228
5.58,254
5.59,253
5.6,235
5.61,257
5.62,234
5.63,253
5.64,236
5.65,254
5.66,264
5.67,237
5.68,270
5.69,271
5.7,253
5.71,240
5.72,255
5.73,250
5.74,255
5.75,264
5.76,250
5.77,195
5.78,271
5.79,230
5.8,253
5.81,228
5.82,215
5.83,216
5.84,249
5.85,232
5.86,239
5.87,221
5.88,244
5.89,210
5.9,231
5.91,229
5.92,221
5.93,238
5.94,232
5.95,226
5.96,233
5.97,219
5.98,198
5.99,220
6,200
6.01,190
6.02,227
6.03,222
6.04,221
6.05,216
6.06,206
6.07,227
6.08,222
6.09,247
6.1,215
6.11,214
6.12,225
6.13,210
6.14,216
6.15,224
6.16,194
6.17,213
6.18,208
6.19,227
